NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,2019-08-26_Pexo_plasma_qEV_conc.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,
33.5,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,2,2,
34.5,0,0,0,0,0,0,0,37,0,62,0,1,0,0,0,7,5,
35.5,0,0,0,0,0,0,0,589,0,116,0,4,0,0,2,47,39,
36.5,0,0,0,0,0,0,0,4485,0,211,0,13,0,0,7,315,298,
37.5,0,0,0,0,0,5,0,18565,3,378,0,35,0,0,21,1267,1236,
38.5,0,0,0,0,0,27,2,46817,8,671,0,92,0,0,59,3178,3117,
39.5,0,0,0,0,0,116,8,80202,21,1187,5,229,0,0,148,5461,5339,
40.5,0,0,0,0,0,434,37,103242,56,2094,19,543,0,0,350,7118,6867,
41.5,0,0,0,0,0,1422,145,109308,140,3693,74,1239,4,1,778,7787,7256,
42.5,0,0,0,0,0,4132,512,102885,339,6514,253,2720,18,6,1638,7935,6800,
43.5,0,0,0,0,0,10749,1625,91781,794,11484,770,5745,65,21,3290,8422,6038,
44.5,0,0,0,0,0,25276,4654,81559,1805,20190,2102,11676,203,73,6334,10258,5488,
45.5,0,0,0,0,0,54223,12059,74837,3995,35279,5162,22803,558,237,11756,14727,5928,
46.5,0,0,0,0,0,107095,28360,72586,8628,61011,11480,42733,1377,709,21120,23673,8547,
47.5,0,0,0,0,0,196466,60773,75361,18178,103911,23279,76732,3081,1960,36849,39773,14338,
48.5,0,0,0,0,0,337609,119234,84082,37325,173410,43392,131861,6331,5015,62593,66724,24222,
49.5,2,1,0,0,0,547798,215396,100568,74547,282164,75023,216716,12084,11878,103670,109323,39408,
50.5,5,2,1,0,0,845496,360644,128070,144425,445715,121448,340646,21666,26100,167528,173450,61318,
51.5,13,4,4,0,0,1249581,563766,172034,270542,681121,185836,512493,36876,53388,264090,265983,91442,
52.5,33,7,11,0,0,1778593,829287,241214,488325,1004500,271316,739126,60149,102106,405751,394694,131269,
