NTA Experiment Summary File
140.5,276842,1081790,1318133,35040,97064,561774,266185,
141.5,220897,1088866,1141213,32293,93759,515406,246821,
142.5,179410,1090909,980422,30358,92462,474712,230891,
143.5,148808,1088130,837173,29110,93020,439248,218155,
144.5,126394,1080850,711715,28468,95367,408559,208093,
145.5,110173,1069468,603427,28381,99513,382193,200047,
146.5,98704,1054439,511101,28824,105534,359720,193363,
147.5,90966,1036238,433190,29799,113558,340750,187476,
148.5,86260,1015347,367998,31328,123761,324939,181957,
149.5,84133,992228,313826,33456,136357,312000,176504,
150.5,84320,967312,269064,36247,151583,301705,170933,
151.5,86709,940990,232251,39793,169685,293885,165144,
152.5,91312,913605,202098,44204,190895,288423,159109,
153.5,98249,885453,177495,49619,215406,285244,152844,
154.5,107729,856787,157507,56205,243341,284314,146407,
155.5,120040,827814,141356,64155,274720,285617,139887,
156.5,135532,798706,128406,73694,309426,289153,133401,
157.5,154595,769606,118142,85075,347179,294919,127089,
158.5,177629,740629,110156,98579,387515,302902,121111,
159.5,205012,711873,104125,114508,429784,313061,115635,
160.5,237050,683423,99806,133184,473161,325325,110829,
161.5,273935,655354,97017,154932,516681,339584,106846,
162.5,315690,627737,95631,180074,559288,355684,103811,
163.5,362134,600638,95572,208903,599907,373431,101813,
164.5,412855,574122,96803,241670,637511,392592,100900,
165.5,467207,548254,99328,278555,671197,412908,101085,
166.5,524331,523097,103185,319638,700250,434101,102348,
167.5,583208,498715,108447,364879,724187,455887,104649,
168.5,642728,475165,115215,414082,742779,477994,107924,
169.5,701775,452504,123622,466881,756055,500167,112091,
170.5,759312,430781,133829,522715,764276,522183,117050,
171.5,814456,410041,146016,580829,767904,543849,122673,
172.5,866536,390321,160385,640270,767545,565011,128810,
173.5,915124,371649,177145,699911,763906,585547,135288,
174.5,960037,354045,196507,758480,757735,605361,141912,
175.5,1001321,337521,218669,814604,749780,624379,148473,
176.5,1039204,322079,243797,866871,740755,642541,154759,
177.5,1074054,307716,272008,913890,731308,659795,160566,
