Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,Injection,tech_N,tech_mean,tech_sd,tech_se
1,48,BPS,145.0,66.5,25.0,2,3,74033.33333333333,67762.50960769778,39122.703162968915
1,48,BPS,145.0,67.5,25.0,1,3,223600.0,387005.1364323218,223437.51969696884
1,48,BPS,145.0,67.5,25.0,2,3,99550.0,92404.44726851625,53349.73250479644
1,48,BPS,145.0,68.5,25.0,1,3,268908.3333333333,465308.30661866907,268645.87608245754
1,48,BPS,145.0,68.5,25.0,2,3,132866.66666666666,123468.33939651628,71284.47898697476
1,48,BPS,145.0,69.5,25.0,1,3,322533.3333333333,557929.8019987221,322120.92137287685
1,48,BPS,145.0,69.5,25.0,2,3,176291.66666666666,161553.96221799494,93273.22357521001
1,48,BPS,145.0,70.5,25.0,1,3,386058.3333333333,667590.4088273987,385433.502244911
1,48,BPS,145.0,70.5,25.0,2,3,232925.0,207123.80506595568,119582.98461040908
1,48,BPS,145.0,71.5,25.0,1,3,461450.0,797588.327005229,460487.8352989722
1,48,BPS,145.0,71.5,25.0,2,3,307066.6666666667,260602.5569873276,150458.9564281384
1,48,BPS,145.0,72.5,25.0,1,3,551058.3333333334,951907.3990984277,549583.9931130738
1,48,BPS,145.0,72.5,25.0,2,3,404516.6666666667,322641.96132607013,186277.42322347543
1,48,BPS,145.0,73.5,25.0,1,3,657750.0,1135361.5338296432,655501.2871840909
1,48,BPS,145.0,73.5,25.0,2,3,533125.0,394839.0661079524,227960.44110400678
1,48,BPS,145.0,74.5,25.0,1,3,784975.0,1353688.641499588,781552.501568726
1,48,BPS,145.0,74.5,25.0,2,3,703033.3333333334,481044.65250986145,277731.2596187985
1,48,BPS,145.0,75.5,25.0,1,3,936875.0,1613630.3741486152,931629.9308872595
1,48,BPS,145.0,75.5,25.0,2,3,927033.3333333334,589223.392660486,340188.2843653562
1,48,BPS,145.0,76.5,25.0,1,3,1118308.3333333333,1923062.2900619558,1110280.5308356883
1,48,BPS,145.0,76.5,25.0,2,3,1220533.3333333333,733172.7104395889,423297.4617347842
1,48,BPS,145.0,77.5,25.0,1,3,1334908.3333333333,2290793.1031540874,1322590.0147637506
1,48,BPS,145.0,77.5,25.0,2,3,1601050.0,932385.3974483942,538312.9602053066
1,48,BPS,145.0,78.5,25.0,1,3,1593066.6666666667,2726515.89823594,1574154.6877963142
1,48,BPS,145.0,78.5,25.0,2,3,2087441.6666666667,1209196.9272861774,698130.1714719429
