83.5,3383303,5213280,3436239,4350769,3028640,3882446,397974,
84.5,4034066,5753531,3986497,4792825,3352622,4383908,411519,
85.5,4748736,6290596,4547946,5202917,3660459,4890131,430599,
86.5,5517002,6819884,5116368,5577229,3949807,5396058,460684,
87.5,6324270,7337413,5690305,5914673,4220493,5897431,505522,
88.5,7152150,7839681,6270794,6216422,4474173,6390644,565561,
89.5,7979418,8323521,6860827,6485356,4713874,6872599,637982,
90.5,8783400,8785998,7464640,6725471,4943512,7340604,718006,
91.5,9541622,9224340,8086933,6941346,5167439,7792336,800365,
92.5,10233540,9635923,8732054,7137684,5390076,8225855,880372,
93.5,10842110,10018297,9403202,7318958,5615623,8639638,954554,
94.5,11355004,10369240,10101661,7489149,5847845,9032580,1020979,
95.5,11765326,10686824,10826082,7651579,6089932,9403949,1079302,
96.5,12071762,10969477,11571864,7808825,6344399,9753265,1130555,
97.5,12278205,11216025,12330674,7962689,6613011,10080121,1176673,
98.5,12392960,11425718,13090194,8114227,6896738,10383967,1219784,
99.5,12427664,11598224,13834176,8263813,7195708,10663917,1261413,
100.5,12396104,11733598,14542888,8411232,7509178,10918600,1301802,
101.5,12313062,11832245,15194002,8555799,7835510,11146124,1339548,
102.5,12193309,11894862,15763925,8696483,8172160,11344148,1371686,
103.5,12050802,11922396,16229491,8832041,8515695,11510085,1394157,
104.5,11898110,11915998,16569860,8961145,8861837,11641390,1402511,
105.5,11746067,11876996,16768406,9082495,9205547,11735902,1392648,
106.5,11603597,11806883,16814331,9194917,9541157,11792177,1361445,
107.5,11477691,11707310,16703780,9297428,9862545,11809751,1307204,
108.5,11373468,11580098,16440268,9389276,10163357,11789293,1229878,
109.5,11294299,11427248,16034379,9469953,10437275,11732631,1131108,
110.5,11241946,11250946,15502769,9539172,10678298,11642626,1014128,
111.5,11216712,11053568,14866648,9596828,10881040,11522959,883641,
112.5,11217571,10837671,14149961,9642939,11041007,11377830,745837,
113.5,11242292,10605969,13377535,9677580,11154836,11211642,608911,
114.5,11287549,10361300,12573388,9700809,11220481,11028705,484694,
115.5,11349031,10106579,11759390,9712616,11237315,10832986,391849,
116.5,11421567,9844746,10954338,9712864,11206155,10627934,355068,
117.5,11499259,9578703,10173457,9701269,11129197,10416377,384242,
118.5,11575658,9311261,9428294,9677384,11009865,10200492,458630,
119.5,11643970,9045080,8726899,9640613,10852611,9981834,551804,
120.5,11697301,8782627,8074216,9590250,10662647,9761408,647836,
121.5,11728930,8526136,7472587,9525525,10445678,9539771,738715,
122.5,11732605,8277580,6922282,9445676,10207614,9317151,820365,
123.5,11702838,8038659,6422026,9350023,9954311,9093571,890643,
124.5,11635180,7810793,5969462,9238045,9691346,8868965,948455,
125.5,11526452,7595127,5561542,9109459,9423835,8643283,993353,
126.5,11374911,7392545,5194849,8964281,9156295,8416576,1025355,
127.5,11180337,7203682,4865837,8802879,8892560,8189059,1044849,
128.5,10944028,7028954,4571016,8625999,8635745,7961148,1052537,
129.5,10668708,6868574,4307073,8434775,8388234,7733473,1049391,
130.5,10358352,6722577,4070955,8230713,8151713,7506862,1036613,
131.5,10017944,6590846,3859920,8015654,7927217,7282316,1015585,
132.5,9653204,6473131,3671553,7791716,7715194,7060960,987810,
133.5,9270281,6369065,3503775,7561230,7515582,6843986,954855,
134.5,8875464,6278185,3354829,7326658,7327880,6632603,918285,
135.5,8474909,6199941,3223266,7090517,7151236,6427974,879607,
136.5,8074417,6133709,3107917,6855301,6984521,6231173,840204,
137.5,7679252,6078799,3007869,6623409,6826406,6043147,801287,
138.5,7294023,6034460,2922438,6397093,6675441,5864691,763853,
139.5,6922608,5999885,2851143,6178404,6530118,5696432,728649,
140.5,6568138,5974214,2793683,5969170,6388946,5538830,696159,
141.5,6233010,5956538,2749916,5770969,6250507,5392188,666606,
142.5,5918935,5945900,2719842,5585132,6113515,5256665,639969,
143.5,5627007,5941296,2703586,5412739,5976863,5132298,616027,
144.5,5357778,5941685,2701385,5254640,5839664,5019030,594410,
145.5,5111349,5945984,2713579,5111468,5701278,4916732,574654,
146.5,4887445,5953085,2740592,4983667,5561330,4825224,556264,
147.5,4685498,5961855,2782925,4871509,5419716,4744301,538761,
148.5,4504712,5971150,2841132,4775120,5276591,4673741,521728,
149.5,4344119,5979825,2915798,4694501,5132352,4613319,504845,
150.5,4202631,5986750,3007508,4629545,4987608,4562808,487914,
151.5,4079074,5990824,3116808,4580051,4843140,4521979,470887,
152.5,3972214,5990994,3244149,4545728,4699862,4490589,453893,
153.5,3880775,5986270,3389832,4526206,4558767,4468370,437267,
154.5,3803452,5975743,3553927,4521028,4420891,4455008,421582,
155.5,3738913,5958608,3736194,4529645,4287266,4450125,407669,
156.5,3685801,5934171,3935994,4551406,4158882,4453251,396607,
157.5,3642730,5901870,4152193,4585543,4036661,4463800,389652,
158.5,3608282,5861286,4383082,4631152,3921429,4481046,388077,
159.5,3581003,5812148,4626303,4687173,3813901,4504106,392933,
160.5,3559404,5754341,4878805,4752372,3714675,4531919,404779,
161.5,3541956,5687905,5136835,4825322,3624224,4563248,423518,
162.5,3527104,5613033,5395974,4904385,3542901,4596679,448384,
163.5,3513272,5530060,5651230,4987712,3470941,4630643,478094,
164.5,3498885,5439458,5897180,5073234,3408470,4663446,511047,
165.5,3482390,5341814,6128171,5158678,3355512,4693313,545526,
166.5,3462288,5237820,6338561,5241590,3311995,4718451,579838,
167.5,3437169,5128247,6522991,5319371,3277760,4737108,612411,
168.5,3405748,5013927,6676660,5389331,3252567,4747647,641861,
169.5,3366911,4895735,6795585,5448757,3236094,4748616,667036,
170.5,3319746,4774563,6876815,5494988,3227946,4738812,687045,
171.5,3263586,4651301,6918594,5525509,3227647,4717328,701270,
172.5,3198032,4526823,6920433,5538041,3234643,4683595,709382,
173.5,3122974,4401965,6883108,5530634,3248301,4637397,711322,
174.5,3038596,4277514,6808579,5501759,3267900,4578870,707292,
175.5,2945372,4154197,6699830,5450375,3292634,4508482,697721,
176.5,2844045,4032670,6560669,5375991,3321607,4426996,683237,
177.5,2735599,3913515,6395482,5278695,3353836,4335426,664626,
178.5,2621213,3797234,6208993,5159162,3388252,4234971,642793,
179.5,2502213,3684249,6006019,5018631,3423706,4126964,618721,
180.5,2380016,3574901,5791259,4858860,3458985,4012804,593430,
181.5,2256075,3469454,5569122,4682051,3492821,3893905,567937,
182.5,2131826,3368097,5343589,4490762,3523916,3771638,543202,
183.5,2008637,3270952,5118130,4287802,3550963,3647297,520083,
184.5,1887769,3178072,4895653,4076123,3572680,3522059,499277,
185.5,1770342,3089457,4678495,3858709,3587834,3396968,481270,
186.5,1657319,3005050,4468436,3638478,3595283,3272913,466301,
187.5,1549486,2924752,4266740,3418189,3594003,3150634,454343,
188.5,1447456,2848419,4074204,3200371,3583124,3030715,445126,
189.5,1351673,2775876,3891221,2987265,3561958,2913599,438185,
190.5,1262421,2706919,3717838,2780792,3530023,2799599,432929,
191.5,1179845,2641320,3553824,2582530,3487061,2688916,428718,
192.5,1103968,2578832,3398721,2393718,3433047,2581657,424933,
193.5,1034710,2519196,3251908,2215262,3368190,2477853,421022,
194.5,971915,2462143,3112642,2047764,3292929,2377478,416533,
195.5,915364,2407400,2980107,1891550,3207912,2280467,411128,
196.5,864797,2354692,2853453,1746708,3113977,2186726,404577,
197.5,819930,2303750,2731830,1613123,3012123,2096151,396752,
198.5,780467,2254307,2614416,1490519,2903473,2008636,387614,
199.5,746114,2206110,2500451,1378494,2789237,1924081,377194,
200.5,716583,2158917,2389254,1276552,2670681,1842398,365577,
201.5,691607,2112504,2280244,1184135,2549082,1763514,352887,
202.5,670937,2066663,2172956,1100646,2425695,1687379,339276,
203.5,654352,2021209,2067051,1025473,2301729,1613963,324910,
204.5,641658,1975980,1962321,958003,2178312,1543255,309965,
205.5,632688,1930838,1858689,897637,2056475,1475265,294615,
206.5,627307,1885670,1756204,843802,1937138,1410024,279032,
207.5,625405,1840392,1655028,795954,1821096,1347575,263385,
208.5,626901,1794943,1555423,753585,1709019,1287974,247832,
209.5,631738,1749291,1457729,716225,1601449,1231286,232527,
210.5,639880,1703428,1362341,683443,1498807,1177580,217616,
211.5,651310,1657373,1269685,654846,1401395,1126922,203243,
212.5,666030,1611163,1180195,630082,1309412,1079376,189552,
213.5,684048,1564859,1094286,608831,1222959,1034996,176689,
214.5,705383,1518537,1012336,590809,1142057,993824,164812,
215.5,730052,1472289,934669,575762,1066654,955885,154092,
216.5,758070,1426218,861546,563467,996639,921188,144720,
217.5,789440,1380438,793150,553724,931856,889722,136904,
218.5,824148,1335065,729592,546357,872111,861455,130860,
219.5,862154,1290221,670906,541209,817185,836335,126790,
220.5,903390,1246026,617058,538142,766838,814291,124849,
221.5,947748,1202596,567953,537030,720824,795230,125113,
222.5,995076,1160046,523445,537761,678888,779043,127556,
223.5,1045171,1118478,483346,540231,640778,765601,132046,
224.5,1097778,1077991,447440,544342,606249,754760,138368,
225.5,1152585,1038669,415492,550002,575062,746362,146259,
226.5,1209221,1000588,387256,557120,546988,740235,155435,
227.5,1267261,963812,362488,565601,521814,736195,165614,
228.5,1326224,928392,340949,575353,499338,734051,176528,
229.5,1385586,894367,322414,586275,479373,733603,187928,
230.5,1444783,861767,306674,598259,461748,734646,199586,
231.5,1503223,830608,293543,611191,446306,736974,211287,
232.5,1560300,800897,282856,624945,432904,740381,222837,
