particle_size,6_4000_2_00,6_4000_2_01,6_4000_2_02,6_4000_1_00,6_4000_1_01,6_4000_1_02,5_500_2_00,5_500_2_01,5_500_2_02,5_500_1_00,5_500_1_01,5_500_1_02,4_500_2_00,4_500_2_01,4_500_2_02,4_500_1_00,4_500_1_01,4_500_1_02,3_500_1_00,3_500_1_01,3_500_1_02,3_500_2_00,3_500_2_01,3_500_2_02,2_500_2_00,2_500_2_01,2_500_2_02,2_500_1_00,2_500_1_01,2_500_1_02,1_500_2_00,1_500_2_01,1_500_2_02,1_500_1_00,1_500_1_01,1_500_1_02
181.5,1722183,1458365,1672340,3070280,4502396,3111926,1772280,3710020,739004,795380,1769870,2645168,2751846,1702327,2171253,467721,710823,1288428,2214906,1343545,766072,1685033,392599,1600427,2128831,2831087,1447326,537885,388425,1084489,663905,82546,1583761,633221,152077,930890
182.5,1637232,1452386,1660890,2893428,4433338,3103625,1811249,3484366,675788,785898,1745291,2434681,2520565,1713147,2172348,496057,626013,1264275,2074476,1333280,768401,1715203,353989,1627318,2213210,2885819,1362260,536081,373315,1014302,701254,86274,1542390,610071,152250,967943
183.5,1565607,1447200,1652292,2711175,4337181,3083178,1849772,3244425,622790,779425,1715284,2222445,2291860,1722737,2164306,527229,553621,1240884,1933537,1330125,774930,1743627,321772,1650459,2282904,2919230,1281755,535388,360574,948682,742550,91779,1499777,589152,154242,1005831
184.5,1506241,1442308,1646169,2525783,4216283,3050837,1887147,2996534,578859,775891,1680115,2012841,2069596,1731079,2145886,561314,492210,1218340,1794036,1333921,785710,1769787,295127,1669620,2334741,2928702,1206378,535678,350024,887859,787311,99281,1456045,570334,158054,1044069
185.5,1458171,1437250,1642165,2339641,4073608,3007079,1922685,2746710,542993,775242,1640159,1809671,1856964,1738187,2116065,598370,440425,1196731,1657720,1344523,800783,1793175,273343,1684620,2365974,2912490,1136502,536831,341500,831937,834888,109080,1411308,553472,163722,1082110
186.5,1420539,1431608,1639940,2155143,3912561,2952581,1955723,2500372,514339,777436,1595894,1616049,1656439,1744108,2074118,638434,397028,1176150,1526090,1361788,820180,1813308,255820,1695333,2374497,2869880,1072340,538737,334852,780914,884451,121563,1365678,538411,171313,1119354
187.5,1392595,1425011,1639176,1974577,3736810,2888196,1985643,2262136,492190,782445,1547873,1434359,1469789,1748909,2019682,681510,360919,1156686,1400380,1385564,843918,1829737,242058,1701688,2359023,2801261,1013964,541299,329940,734716,934974,137211,1319269,524992,180926,1155151
188.5,1373684,1417140,1639573,1800021,3550120,2814920,2011883,2035694,475982,790254,1496711,1266260,1298116,1752678,1952809,727566,331138,1138421,1281548,1415677,871988,1842055,231655,1703674,2319220,2708119,961343,544429,326639,693207,985252,156598,1272194,513051,192678,1188820
189.5,1363244,1407731,1640850,1633269,3356197,2733855,2033959,1823778,465278,800855,1443059,1112731,1141935,1755511,1874000,776528,306866,1121429,1170283,1451904,904348,1849907,224293,1701331,2255775,2592937,914360,548048,324833,656217,1033923,180400,1224575,502421,206702,1219663
190.5,1360789,1396577,1642747,1475778,3158546,2646176,2051472,1628200,459769,814248,1387582,974149,1001253,1757510,1784207,828274,287416,1105771,1067020,1493956,940913,1852998,219735,1694757,2170371,2459027,872843,552089,324416,623555,1079517,209376,1176538,492934,223136,1246983
191.5,1365900,1383533,1645021,1328636,2960375,2553092,2064120,1449934,459259,830439,1330943,850391,875672,1758777,1684800,882626,272225,1091496,971964,1541452,981539,1851103,217813,1684100,2065592,2310298,836578,556497,325291,595021,1120515,244357,1128219,484418,242112,1270107
192.5,1378206,1368510,1647451,1192564,2764512,2455815,2071707,1289242,463662,849435,1273778,740935,764485,1759403,1577517,939353,260846,1078635,885125,1593888,1026011,1844066,218429,1669555,1944749,2150993,805333,561225,327367,570418,1155433,286200,1079762,476706,263740,1288409
193.5,1397378,1351483,1649832,1067937,2573365,2355531,2074140,1145815,472994,871243,1216686,644968,666763,1759469,1464373,998159,252935,1067209,806352,1650616,1074034,1831806,221540,1651359,1811657,1985427,778865,566239,330557,549557,1182904,335732,1031322,469628,288092,1301331
194.5,1423104,1332479,1651980,954814,2388904,2253370,2071431,1018912,487365,895863,1160216,561482,581440,1759034,1347563,1058685,248244,1057217,735363,1710812,1125214,1814320,227162,1629790,1670378,1817740,756933,571511,334778,532268,1201771,393669,983059,463017,315183,1308408
195.5,1455078,1311579,1653727,852987,2212663,2150391,2063692,907496,506978,923290,1104855,489358,507380,1758137,1229339,1120512,246614,1048644,671784,1773456,1179059,1791680,235359,1605153,1524966,1651695,739305,577025,339948,518404,1211160,460499,935143,456709,344950,1309286
196.5,1492984,1288907,1654924,762036,2045769,2047564,2051125,810347,532118,953503,1051025,427437,443428,1756789,1111900,1183154,247967,1041461,615178,1837317,1234966,1764030,246244,1577782,1379235,1490528,725761,582772,345985,507838,1210551,536354,887745,450547,377230,1303739
197.5,1536478,1264629,1655437,681379,1888975,1945760,2034012,726158,563143,986466,999084,374571,388462,1754971,997285,1246068,252305,1035617,565070,1900947,1292223,1731580,259970,1548026,1236568,1336858,716096,588750,352808,500474,1199809,620867,841040,444377,411741,1291678
198.5,1585170,1238942,1655147,610325,1742712,1845740,2012701,653610,600478,1022116,949318,329666,341411,1752632,887279,1308659,259705,1031048,520968,1962688,1350019,1694607,276727,1516249,1099792,1192655,710122,594961,360332,496244,1179201,713028,795200,438056,448069,1273163
199.5,1638616,1212066,1653950,548119,1607130,1748162,1987591,591425,644595,1060365,901951,291706,301288,1749688,783357,1370283,270320,1027673,482388,2020698,1407450,1653436,296736,1482819,971099,1059259,707664,601412,368469,495107,1149370,811074,750393,431452,485654,1248395
200.5,1696297,1184237,1651753,493982,1482157,1653576,1959119,538406,695999,1101091,857149,259772,267191,1746019,686640,1430260,284374,1025394,448859,2072990,1463540,1608445,320239,1448103,852038,937429,708560,608113,377129,497054,1111289,912429,706779,424446,523795,1217718
201.5,1757613,1155700,1648476,447142,1367538,1562427,1927744,493457,755197,1144134,815020,233044,238315,1741473,597889,1487885,302169,1024096,419942,2117499,1517268,1560044,347488,1412462,743547,827428,712657,615073,386216,502103,1066191,1013730,664507,416937,561661,1181600
202.5,1821872,1126700,1644049,406856,1262886,1475066,1893933,455593,822668,1189287,775627,210808,213949,1735861,517516,1542442,324076,1023649,395229,2152162,1567596,1508673,378731,1376244,646024,729111,719806,622302,395632,510298,1015485,1110955,623710,408840,598311,1140620
203.5,1888289,1097479,1638412,372431,1167719,1391757,1858147,423948,898823,1236297,738991,192450,193474,1728967,445622,1593216,350542,1023907,374356,2175014,1613507,1454792,414199,1339782,559419,642025,729859,629805,405273,521711,960666,1199658,584507,400093,632739,1095447
204.5,1955982,1068265,1631515,343232,1081490,1312680,1820833,397770,983955,1284859,705099,177448,176358,1720541,382041,1639510,382080,1024710,356997,2184300,1654039,1398869,454081,1303389,483332,565494,742660,637582,415032,536434,903230,1275309,546998,390655,663915,1046812
205.5,2023981,1039275,1623314,318692,1003617,1237949,1782416,376413,1078184,1334614,673911,165371,162147,1710315,326399,1680664,419263,1025882,342874,2178582,1688323,1341373,498505,1267352,417115,498706,758042,645628,424798,554577,844597,1333700,511262,380510,690846,995486
206.5,2091237,1010706,1613774,298312,933507,1167614,1743285,359332,1181397,1385145,645363,155866,150460,1697996,278166,1716068,462716,1027237,331750,2156847,1715618,1282768,547512,1231934,359959,440775,775821,653930,434457,576260,786054,1371359,477359,369662,712632,942253
207.5,2156642,982735,1602868,281661,870569,1101675,1703796,346069,1293186,1435981,619378,148651,140980,1683282,236713,1745178,513094,1028577,323429,2118593,1735341,1223502,601034,1197373,310974,390796,795788,662464,443894,601608,728712,1385923,445327,358144,728524,887884
208.5,2219045,955516,1590578,268378,814232,1040086,1664264,336248,1412787,1486601,595868,143513,133450,1665868,201358,1767533,571053,1029692,317758,2063888,1747088,1164006,658863,1163876,269244,347883,817706,671196,452992,630738,673481,1376406,415187,346006,737974,833116
209.5,2277283,929183,1576891,258163,763949,982769,1624961,329560,1539033,1536431,574734,140295,127662,1645449,171408,1782767,637220,1030371,314624,1993401,1750649,1104682,720638,1131623,233876,311200,841302,680077,461633,663746,621070,1343315,386937,333320,740672,778635
210.5,2330214,903845,1561804,250782,719208,929616,1586118,325759,1670314,1584861,555879,138899,123457,1621738,146184,1790619,712141,1030397,313951,1908381,1746016,1045905,785824,1100768,204028,279976,866268,689048,469703,700694,571987,1288588,360562,320175,736561,725056
211.5,2376743,879593,1545322,246057,679532,880499,1547926,324648,1804572,1631247,539202,139279,120716,1594474,125048,1790942,796226,1029553,315699,1810608,1733371,988018,853704,1071438,178933,253515,892255,698033,477091,741589,526563,1215382,336028,306673,725840,672917
212.5,2415861,856495,1527461,243863,644485,835275,1510534,326073,1939313,1674926,524605,141437,119361,1563431,107416,1783707,889680,1027629,319863,1702297,1713082,931327,923385,1043734,157901,231200,918875,706943,483689,786360,484972,1127727,313290,292927,708948,622673
213.5,2446679,834603,1508244,244129,613670,793789,1474056,329914,2071662,1715229,511993,145428,119348,1528434,92762,1769007,992429,1024421,326468,1585978,1685677,876102,993808,1017734,140329,212492,945701,715674,489397,834836,447259,1030120,292290,279054,686524,574687
214.5,2468451,813950,1487705,246832,586728,755882,1438571,336078,2198455,1751496,501276,151356,120668,1489367,80625,1747050,1104041,1019741,335571,1464356,1651816,822577,1063772,993495,125692,196928,972272,724107,494123,886721,413372,927107,272963,265174,659367,529240
215.5,2480607,794557,1465888,251994,563338,721394,1404126,344488,2316356,1783095,492369,159377,123345,1446184,70606,1718160,1223652,1013418,347255,1340163,1612263,770948,1131979,971056,113547,184114,998100,732109,497787,941563,383181,822921,255234,251403,628377,486530
216.5,2482767,776429,1442847,259682,543217,690164,1370744,355080,2422015,1809436,485195,169699,127435,1398922,62365,1682763,1349898,1005307,361630,1216023,1567855,721377,1197071,950435,103515,173720,1022678,739535,500320,998734,356508,721201,239025,237855,594504,446679
217.5,2474753,759561,1418647,270004,526113,662036,1338419,367791,2512239,1829990,479681,182589,133029,1347700,55615,1641377,1480880,995287,378823,1094327,1519464,673988,1257693,931636,95282,165475,1045488,746230,501665,1057407,333144,624826,224257,224631,558695,409743
218.5,2456595,743941,1393361,283104,511807,636861,1307129,382554,2584173,1844305,475762,198369,140250,1292731,50118,1594600,1614142,983270,398978,977141,1467971,628875,1312549,914650,88589,159158,1066021,752031,501783,1116542,312863,535856,210845,211825,521851,375721
219.5,2428523,729547,1367075,299160,500109,614497,1276831,399285,2635464,1852022,473378,217424,149259,1234318,45679,1543090,1746707,969205,422250,866145,1414240,586101,1360461,899455,83221,154597,1083784,756771,500650,1174886,295441,455557,198710,199518,484788,344562
220.5,2390960,716352,1339879,318380,490856,594809,1247469,417883,2664412,1852884,472473,240195,160252,1172853,42139,1487553,1875147,953074,448794,762604,1359088,545697,1400419,886018,79008,151661,1098317,760279,498258,1230982,280656,384500,187770,187774,448215,316180
221.5,2344497,704324,1311874,340987,483908,577675,1218978,438216,2670071,1846748,472999,267179,173463,1108813,39370,1428719,1995711,934901,478757,667367,1303274,507674,1431631,874296,75811,150257,1109209,762390,494619,1283198,268303,322691,177948,176649,412722,290458
222.5,2289871,693430,1283167,367219,479150,562982,1191281,460118,2652306,1833590,474910,298922,189163,1042742,37274,1367329,2104491,914747,512267,580898,1247484,472015,1453551,864238,73524,150327,1116110,762944,489761,1329774,258194,269720,169170,166181,378772,267257
223.5,2227938,683633,1253868,397307,476483,550628,1164297,483383,2611798,1813506,478162,336002,207663,975248,35776,1304117,2197637,892713,549419,503318,1192320,438686,1465901,855785,72064,151844,1118742,761794,483731,1368889,250158,224898,161366,156398,346708,246428
224.5,2159639,674894,1224094,431463,475829,540521,1137941,507762,2549986,1786712,482714,379013,229307,906977,34821,1239792,2271587,868932,590255,434464,1138299,407636,1468668,848872,71372,154811,1116911,758810,476590,1398751,244046,187377,154472,147315,316760,227812
225.5,2085970,667177,1193961,469854,477124,532580,1112128,532960,2468971,1753534,488525,428531,254472,838599,34377,1175029,2323302,843571,634754,373954,1085850,378798,1462098,843426,71408,159260,1110510,753880,468416,1417691,239731,156251,148427,138938,289063,211250
226.5,2007950,660444,1163586,512585,480317,526737,1086772,558640,2371378,1714402,495556,485076,283559,770788,34426,1110453,2350479,816827,682805,321244,1035321,352094,1446670,839369,72150,165248,1099526,746920,459300,1424278,237100,130618,143176,131264,263666,196585
