particle_size,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02
112.5,2852721,2696483,2334459,4001170,2442361,2973858,3102106,908594,1410828,2314243,3228822,1523586
113.5,2394355,2398428,1963907,3552776,2163184,2836343,2537334,785642,1052571,1798380,2647525,1093487
114.5,2009513,2150476,1664094,3161557,1926118,2717901,2080292,700879,791783,1391027,2179782,780339
115.5,1688329,1946253,1421465,2822995,1722622,2614141,1713823,646116,603100,1072911,1806955,555831
116.5,1421693,1779990,1224882,2531991,1546369,2521391,1422153,615904,467010,826852,1512062,396768
117.5,1201376,1646614,1065332,2283281,1392747,2436615,1191381,606922,368962,638051,1280360,285006
118.5,1020095,1541767,935605,2071719,1258431,2357360,1009658,617514,298357,494120,1099495,206866
119.5,871504,1461776,829980,1892474,1141043,2281705,867139,647366,247606,384943,959416,152341
120.5,750157,1403591,743942,1741128,1038867,2208217,755806,697244,211350,302427,852130,114273
121.5,651439,1364709,673949,1613734,950641,2135901,669225,768743,185849,240215,771421,87637
122.5,571488,1343086,617233,1506814,875405,2064155,602285,863976,168538,193388,712559,68949
123.5,507107,1337036,571649,1417340,812406,1992706,550937,985141,157697,158194,672044,55821
124.5,455681,1345137,535545,1342699,761040,1921548,511964,1133866,152231,131800,647381,46628
125.5,415096,1366133,507675,1280646,720846,1850875,482774,1310323,151519,112092,636899,40272
126.5,383671,1398829,487122,1229264,691508,1781011,461223,1512099,155316,97512,639603,36024
127.5,360088,1441999,473249,1186914,672887,1712349,445468,1732980,163699,86923,655040,33411
128.5,343345,1494287,465656,1152203,665063,1645298,433844,1961915,177035,79513,683185,32146
129.5,332709,1554131,464160,1123944,668380,1580239,424782,2182602,195970,74725,724299,32083
130.5,327679,1619694,468776,1101128,683494,1517494,416751,2374181,221428,72198,778770,33193
131.5,327961,1688825,479710,1082896,711430,1457308,408253,2513399,254603,71739,846880,35555
132.5,333441,1759057,497357,1068520,753617,1399839,397859,2578252,296940,73299,928509,39363
133.5,344175,1827639,522298,1057380,811924,1345165,384294,2552528,350090,76966,1022737,44934
134.5,360369,1891622,555303,1048947,888653,1293287,366566,2430116,415806,82966,1127368,52742
135.5,382373,1947977,597320,1042764,986484,1244145,344099,2217658,495784,91674,1238440,63446
136.5,410663,1993758,649455,1038433,1108317,1197635,316854,1934388,591420,103633,1349799,77935
137.5,445828,2026278,712931,1035600,1256987,1153625,285386,1608845,703493,119572,1452949,97366
138.5,488548,2043299,789012,1033934,1434775,1111972,250806,1273252,831779,140429,1537343,123190
139.5,539559,2043188,878877,1033122,1642694,1072539,214646,957231,974655,167354,1591351,157143
140.5,599607,2025044,983439,1032848,1879523,1035202,178636,682742,1128767,201695,1603920,201178
141.5,669386,1988766,1103093,1032786,2140663,999863,144447,461558,1288843,244935,1566785,257285
142.5,749451,1935056,1237388,1032588,2416978,966456,113459,295582,1447770,298553,1476740,327184
143.5,840108,1865352,1384650,1031877,2693940,934943,86602,179274,1596987,363800,1337274,411867
144.5,941291,1781714,1541587,1030244,2951509,905320,64300,102993,1727217,441341,1158860,511005
145.5,1052399,1686658,1702960,1027248,3165217,877610,46515,56075,1829461,530798,957520,622329
146.5,1172145,1582975,1861400,1022416,3308782,851854,32857,28959,1896107,630212,751865,741146
147.5,1298392,1473545,2007526,1015262,3358186,828109,22725,14204,1921957,735557,559430,860198
148.5,1428017,1361168,2130440,1005292,3296614,806436,15440,6627,1904948,840447,393448,970099
149.5,1556837,1248424,2218684,992028,3119037,786893,10343,2948,1846436,936266,261019,1060418
150.5,1679612,1137569,2261613,975035,2834974,769529,6859,1253,1750963,1012900,163081,1121324
151.5,1790183,1030476,2251013,953941,2468192,754372,4524,510,1625586,1060134,95846,1145438
152.5,1881763,928606,2182671,928473,2052982,741429,2981,200,1478907,1069557,52951,1129399
153.5,1947404,833015,2057543,898481,1627793,730672,1971,76,1320003,1036575,27490,1074661
154.5,1980625,744387,1882140,863961,1228049,722039,1316,28,1157454,961941,13413,987246
155.5,1976168,663073,1667977,825075,880226,715425,890,10,998603,852195,6154,876513
156.5,1930770,589156,1430076,782154,598769,710678,613,3,849121,718732,2658,753327
157.5,1843854,522498,1184846,735699,386279,707592,433,1,712868,575618,1082,628159
158.5,1717973,462800,947777,686362,236248,705905,314,0,592003,436767,415,509596
159.5,1558872,409652,731485,634920,136984,705292,235,0,487245,313354,151,403540
160.5,1375106,362572,544470,582234,75330,705366,182,0,398223,212191,52,313102
161.5,1177189,321041,390771,529210,39316,705676,147,0,323823,135417,17,239019
162.5,976407,284530,270428,476748,19494,705711,123,0,262496,81348,5,180335
163.5,783484,252523,180489,425695,9196,704912,108,0,212513,45954,2,135111
164.5,607359,224524,116220,376808,4133,702682,100,0,172138,24395,0,101016
165.5,454313,200071,72240,330719,1774,698415,96,0,139747,12165,0,75743
166.5,327586,178741,43374,287915,728,691517,97,0,113887,5697,0,57238
167.5,227522,160148,25176,248731,287,681444,102,0,93308,2506,0,43803
168.5,152137,143950,14140,213349,109,667741,113,0,76961,1036,0,34102
169.5,97919,129838,7692,181812,40,650077,132,0,63981,403,0,27124
170.5,60669,117544,4057,154043,14,628279,159,0,53670,147,0,22124
171.5,36202,106829,2077,129868,5,602363,201,0,45470,51,0,18566
172.5,20822,97487,1033,109041,2,572543,262,0,38938,16,0,16073
173.5,11557,89338,500,91270,0,539232,356,0,33726,5,0,14383
174.5,6200,82224,236,76235,0,503023,497,0,29562,1,0,13321
175.5,3221,76009,108,63613,0,464654,713,0,26233,0,0,12777
176.5,1624,70577,49,53086,0,424963,1048,0,23573,0,0,12688
177.5,797,65823,21,44357,0,384828,1568,0,21455,0,0,13033
178.5,382,61661,9,37154,0,345113,2379,0,19780,0,0,13823
179.5,180,58011,4,31234,0,306613,3642,0,18472,0,0,15102
180.5,83,54806,2,26383,0,270011,5602,0,17471,0,0,16944
181.5,38,51988,0,22418,0,235848,8616,0,16733,0,0,19452
182.5,17,49503,0,19184,0,204508,13188,0,16226,0,0,22753
183.5,8,47305,0,16551,0,176219,20001,0,15925,0,0,26995
184.5,4,45351,0,14411,0,151063,29925,0,15815,0,0,32326
185.5,2,43605,0,12675,0,128998,43985,0,15885,0,0,38865
186.5,0,42030,0,11271,0,109886,63257,0,16130,0,0,46667
187.5,0,40594,0,10142,0,93518,88681,0,16552,0,0,55660
188.5,0,39268,0,9240,0,79641,120763,0,17154,0,0,65589
189.5,0,38023,0,8528,0,67982,159225,0,17947,0,0,75956
190.5,0,36831,0,7978,0,58268,202658,0,18943,0,0,86006
191.5,0,35669,0,7568,0,50234,248327,0,20158,0,0,94758
192.5,0,34511,0,7279,0,43638,292243,1,21611,0,0,101123
193.5,0,33337,0,7102,0,38264,329616,4,23325,0,0,104091
194.5,0,32126,0,7027,0,33924,355655,14,25323,0,0,102958
195.5,0,30863,0,7050,0,30458,366557,44,27629,0,0,97530
196.5,0,29533,0,7171,0,27735,360420,133,30266,0,0,88229
197.5,0,28126,0,7392,0,25649,337765,385,33252,0,0,76040
198.5,0,26637,0,7717,0,24120,301482,1050,36602,0,0,62321
199.5,0,25065,0,8157,0,23088,256193,2678,40315,0,0,48507
200.5,0,23415,0,8722,0,22513,207232,6336,44376,0,0,35825
201.5,0,21697,0,9428,0,22377,159574,13816,48751,0,0,25100
202.5,0,19925,0,10294,0,22678,117006,27576,53374,0,0,16687
203.5,0,18119,0,11343,0,23436,81737,50073,58150,0,0,10534
204.5,0,16303,0,12602,0,24694,54438,82255,62945,0,0,6322
205.5,0,14501,0,14105,0,26514,34597,121623,67584,0,0,3614
206.5,0,12742,0,15886,0,28989,21004,161135,71859,0,0,1971
207.5,0,11050,0,17987,0,32242,12195,190511,75528,0,0,1029
208.5,0,9453,0,20454,0,36431,6781,200291,78337,0,0,516
209.5,0,7969,0,23334,0,41755,3616,186664,80033,0,0,249
210.5,0,6618,0,26679,0,48454,1852,153801,80394,0,0,116
211.5,0,5409,0,30540,0,56813,913,111782,79258,0,0,53
212.5,0,4349,0,34966,0,67156,434,71531,76547,0,0,23
213.5,0,3437,0,40001,0,79831,199,40243,72292,0,0,10
214.5,0,2669,0,45681,0,95183,88,19882,66642,0,0,4
215.5,1,2036,0,52026,0,113513,38,8620,59860,0,0,2
216.5,2,1524,0,59038,0,135011,16,3278,52299,0,0,0
217.5,5,1120,0,66695,0,159673,6,1093,44371,0,0,0
218.5,11,807,0,74945,0,187198,3,320,36496,0,0,0
219.5,24,570,0,83700,0,216886,0,82,29056,0,0,0
220.5,52,395,0,92835,0,247552,0,18,22358,0,0,0
221.5,110,268,0,102185,0,277495,0,4,16604,0,0,0
222.5,232,178,0,111548,0,304549,0,0,11885,0,0,0
223.5,478,116,0,120684,0,326251,0,0,8189,0,0,0
224.5,959,74,0,129329,3,340135,0,0,5425,0,0,0
225.5,1862,47,0,137201,8,344113,0,0,3452,0,0,0
226.5,3490,29,0,144017,23,336893,0,0,2107,0,0,0
227.5,6286,17,0,149505,63,318321,0,0,1233,0,0,0
228.5,10843,10,0,153426,167,289542,0,0,691,0,0,0
229.5,17844,6,0,155587,428,252921,0,0,371,0,0,0
230.5,27927,3,0,155858,1047,211688,0,0,190,0,0,0
231.5,41436,2,0,154181,2444,169405,0,0,93,0,0,0
232.5,58121,1,0,150579,5430,129364,0,0,44,0,0,0
233.5,76864,0,0,145154,11455,94096,0,0,20,0,0,0
234.5,95608,0,0,138084,22896,65085,0,0,8,0,0,0
235.5,111602,0,0,129611,43284,42745,0,0,3,0,0,0
236.5,122001,0,0,120026,77264,26620,0,0,1,0,0,0
237.5,124671,0,0,109651,130046,15702,0,0,0,0,0,0
238.5,118887,0,0,98818,206138,8763,0,0,0,0,0,0
239.5,105637,0,0,87850,307396,4623,0,0,0,0,0,0
240.5,87338,0,0,77045,430862,2304,0,0,0,0,0,0
241.5,67109,0,0,66662,567237,1084,0,0,0,0,0,0
242.5,47870,0,0,56910,701024,481,0,0,0,0,0,0
243.5,31670,0,0,47943,812947,202,0,0,0,0,3,0
244.5,19416,0,0,39863,884367,80,0,0,0,0,8,0
245.5,11024,0,0,32720,902360,30,0,0,0,0,23,0
246.5,5792,0,0,26519,863567,10,0,0,0,0,63,0
247.5,2815,0,0,21229,775218,3,0,0,0,0,162,0
248.5,1265,0,0,16789,652913,1,0,0,0,0,392,0
249.5,526,0,0,13123,516094,0,0,0,0,0,896,0
250.5,202,0,0,10141,383024,0,0,0,0,0,1932,0
251.5,72,0,0,7751,267037,0,0,0,0,0,3930,0
252.5,23,0,0,5861,174996,0,0,0,0,0,7533,0
253.5,7,0,0,4388,107869,0,0,0,0,0,13600,0
254.5,2,0,0,3253,62591,0,0,0,0,0,23119,0
255.5,0,0,0,2390,34217,0,0,0,0,0,36989,0
256.5,0,0,0,1740,17640,0,0,0,0,0,55688,0
257.5,0,0,0,1257,8584,0,0,0,0,0,78881,0
258.5,0,0,0,901,3947,0,0,0,0,0,105116,0
259.5,0,0,0,642,1717,0,0,0,0,0,131780,0
260.5,0,0,0,454,707,0,0,0,0,0,155434,0
261.5,0,0,0,319,276,0,0,0,0,0,172507,0
262.5,0,0,0,223,103,0,0,0,0,0,180186,0
263.5,0,0,0,156,36,0,0,0,0,0,177172,0
264.5,0,0,0,108,12,0,0,0,0,0,164046,0
265.5,0,0,0,75,4,0,0,0,0,0,143083,0
266.5,0,0,0,52,1,0,0,0,0,0,117610,0
267.5,0,0,0,35,0,0,0,0,0,0,91146,0
268.5,0,0,0,24,0,0,0,0,0,0,66633,0
