particle_size,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02
84.5,0,0,0,5870482,3151913,3092738,0,0,0,9612,6413,86144,0,0,0,20635,0,0,680490,10,1296472,906982,73960,618869,706592,601687,213885,2054018,1518030,699026,1668000,494708,2891414,0,0,0
85.5,0,0,0,5593124,2960283,3437271,0,0,0,7726,7419,98366,0,0,0,22201,0,0,862880,75,1683983,1022889,102704,722034,971994,764498,281270,2608001,2088055,950391,2191321,788125,3584588,0,0,0
86.5,0,0,0,5284512,2756032,3803033,0,0,0,6175,8382,109722,0,0,0,23331,0,0,1071938,465,2090450,1140919,140749,806979,1310466,973517,388544,3256529,2752843,1224867,2841368,1215181,4349994,0,0,0
87.5,0,0,0,4962499,2549182,4176650,0,0,0,4917,9262,119610,0,0,0,23982,0,0,1308619,2412,2494965,1260083,190079,870242,1731514,1242925,558373,3997646,3496899,1513169,3630769,1812594,5169727,0,0,0
88.5,0,0,0,4641339,2348931,4541096,0,0,0,3908,10023,127509,0,0,0,24151,0,0,1573938,10559,2879753,1379613,252630,912380,2241796,1589871,824587,4824002,4301380,1810078,4564758,2614805,6020691,0,0,0
89.5,0,0,0,4331357,2162920,4876812,0,0,0,3105,10641,133038,0,0,0,23873,0,0,1868906,39205,3232399,1498953,330070,937048,2843477,2033865,1234508,5722672,5146635,2115553,5637574,3647379,6876196,0,0,0
90.5,0,0,0,4039191,1996905,5163477,0,0,0,2472,11096,136003,0,0,0,23210,0,0,2194392,124210,3546432,1617725,423553,949605,3532661,2595202,1848340,6675493,6013874,2434614,6829358,4919373,7707979,0,0,0
91.5,1,0,0,3768359,1854787,5382218,0,0,0,1975,11382,136416,0,0,0,22244,0,0,2550943,338300,3820599,1735675,533463,955820,4298252,3292069,2732431,7659899,6885799,2776563,8104448,6416142,8488355,0,0,0
92.5,6,0,0,3519980,1738917,5517885,0,0,0,1586,11501,134482,0,0,0,21064,0,0,2938532,798661,4057409,1852610,659214,960974,5121548,4136174,3943536,8650151,7746369,3154012,9411888,8094436,9192197,0,0,0
93.5,25,0,0,3293487,1650528,5560953,0,0,0,1282,11462,130562,0,0,0,19756,0,0,3356284,1649120,4261509,1968333,799138,969404,5976820,5127161,5504137,9618799,8580064,3581989,10688659,9881564,9798515,0,0,0
94.5,90,0,0,3087272,1590210,5508677,0,0,0,1046,11282,125117,0,0,0,18398,0,0,3802156,3006968,4438265,2082579,950500,984397,6832954,6246770,7374644,10538228,9371058,4077142,11865523,11679741,10291475,0,0,0
95.5,292,0,0,2899211,1558337,5365269,0,0,0,861,10981,118649,0,0,0,17054,0,0,4272621,4890106,4592726,2194974,1109656,1008259,7655986,7454360,9434362,11382132,10102652,4656878,12874681,13375588,10660848,0,0,0
96.5,854,0,0,2727073,1555416,5141117,0,0,0,717,10583,111643,0,0,0,15772,0,0,4762367,7165341,4728973,2304991,1272338,1042446,8412181,8685851,11484781,12126794,10757165,5338187,13657903,14853450,10901926,0,0,0
97.5,2243,0,0,2568805,1582323,4851238,0,0,0,604,10110,104531,0,0,0,14587,0,0,5264064,9556836,4849830,2411945,1434009,1087676,9071147,9857771,13282072,12752134,11316425,6135836,14173517,16010120,11015035,0,0,0
