particle_size,16_3_20_1_00,16_3_20_1_01,16_3_20_1_02,16_2_20_1_00,16_2_20_1_01,16_2_20_1_02,16_1_4_1_00,16_1_4_1_01,16_1_4_1_02,14_3_20_1_00,14_3_20_1_01,14_3_20_1_02,14_2_16_1_00,14_2_16_1_01,14_2_16_1_02,14_1_4_1_00,14_1_4_1_01,14_1_4_1_02
559.5,3308,48942,196257,48602,35526,152113,0,54290,1356,57487,297719,862,172738,54501,76735,71684,340415,1081441
560.5,2512,45901,195633,49672,34832,154319,0,54539,1214,57581,296736,728,168368,52807,76051,63737,342703,1101750
561.5,1892,42942,194537,50705,34166,155917,0,54761,1085,57710,295584,613,163875,51162,75405,56688,345207,1119943
562.5,1413,40072,192973,51691,33528,156856,0,54957,967,57873,294259,515,159268,49564,74798,50437,347913,1135842
563.5,1047,37298,190949,52620,32918,157098,0,55126,861,58070,292759,432,154560,48014,74228,44898,350811,1149277
564.5,769,34624,188477,53484,32335,156610,0,55268,764,58298,291078,361,149761,46512,73693,39991,353888,1160092
565.5,560,32056,185575,54273,31778,155371,0,55382,676,58558,289215,301,144884,45055,73194,35645,357129,1168149
566.5,405,29596,182262,54977,31248,153373,0,55469,597,58848,287168,250,139942,43645,72730,31797,360519,1173328
567.5,290,27249,178560,55586,30743,150620,0,55529,527,59167,284933,207,134949,42279,72298,28389,364043,1175529
568.5,206,25017,174496,56091,30263,147128,0,55561,463,59515,282510,171,129917,40959,71899,25372,367683,1174677
569.5,145,22901,170099,56482,29808,142926,0,55565,406,59889,279897,141,124862,39682,71532,22700,371419,1170720
570.5,101,20903,165399,56752,29377,138060,0,55542,356,60290,277094,116,119796,38448,71197,20334,375232,1163633
571.5,70,19022,160431,56891,28969,132582,0,55491,311,60716,274101,95,114735,37256,70891,18237,379100,1153418
572.5,48,17258,155227,56893,28584,126561,0,55412,271,61165,270919,78,109692,36106,70616,16379,383000,1140106
573.5,33,15609,149823,56751,28222,120073,0,55306,235,61637,267549,63,104681,34997,70369,14731,386907,1123755
574.5,22,14073,144254,56461,27882,113202,0,55173,204,62131,263994,51,99716,33927,70152,13269,390795,1104452
575.5,15,12649,138557,56019,27562,106038,0,55013,176,62644,260255,42,94809,32896,69962,11971,394636,1082312
576.5,10,11332,132767,55422,27264,98675,0,54826,152,63175,256336,34,89973,31903,69800,10818,398402,1057474
577.5,6,10119,126917,54670,26986,91206,0,54613,131,63724,252240,27,85221,30948,69665,9794,402062,1030105
578.5,4,9006,121042,53762,26727,83725,0,54373,113,64288,247974,22,80563,30029,69556,8882,405585,1000392
579.5,3,7989,115173,52703,26488,76321,0,54108,96,64866,243541,18,76010,29145,69473,8071,408939,968544
580.5,2,7063,109340,51496,26267,69076,0,53818,82,65456,238948,14,71572,28295,69416,7348,412088,934788
581.5,1,6223,103572,50147,26064,62067,0,53503,70,66056,234202,11,67258,27480,69384,6703,415000,899365
