149.5,1569197925,744134910,824565807,803937502,914993621,971365953,151953516,
150.5,1479237517,717121381,822682126,854391990,815646066,937815816,137292433,
151.5,1392476454,692217314,821933670,909633893,728343940,908921054,126681045,
152.5,1309223549,669257564,822105780,968998895,652577313,884432620,120735374,
153.5,1229676758,648075182,822991628,1031589535,587572588,863981138,119691911,
154.5,1153940659,628505177,824393751,1096261117,532412072,847102555,123199069,
155.5,1082043771,610387817,826125586,1161625045,486127315,833261907,130372731,
156.5,1013954875,593571460,828012911,1226073463,447766659,821875874,140069323,
157.5,949597776,577914942,829895083,1287827361,416440067,812335046,151150252,
158.5,888864187,563289538,831625993,1345007839,391345438,804026599,162616100,
159.5,831624583,549580481,833074657,1395727202,371780827,796357550,173637583,
160.5,777737037,536688071,834125403,1438193471,357146493,788778095,183544795,
161.5,727054132,524528343,834677642,1470819316,346939988,780803884,191810811,
162.5,679428130,513033324,834645231,1492324778,340746652,772035623,198041024,
163.5,634714599,502150878,833955480,1501823016,338227175,762174230,201968077,
164.5,592774754,491844156,832547880,1498879691,339103258,751029948,203449010,
165.5,553476722,482090702,830372647,1483539465,343142005,738524308,202461314,
166.5,516696002,472881249,827389172,1456316958,350139397,724684556,199095760,
167.5,482315301,464218271,823564512,1418153697,359903136,709630983,193545172,
168.5,450223968,456114363,818871995,1370346498,372235168,693558399,186089436,
169.5,420317191,448590521,813290060,1314455614,386914400,676713557,177077785,
170.5,392495084,441674389,806801369,1252202565,403680367,659370755,166909743,
171.5,366661800,435398549,799392281,1185367673,422218926,641807846,156015957,
172.5,342724735,429798896,791052672,1115696105,442151300,624284742,144839574,
173.5,320593880,424913157,781776131,1044819117,463027972,607026051,133817843,
174.5,300181360,420779556,771560476,974194544,484328905,590208968,123362518,
175.5,281401153,417435653,760408562,905067968,505471266,573956920,113836903,
176.5,264168999,414917338,748329291,838453702,525825269,558338920,105528068,
177.5,248402458,413257967,735338740,775133050,544737885,543374020,98616168,
178.5,234021102,412487607,721461314,715666265,561563189,529039895,93148723,
179.5,220946800,412632348,706730808,660414248,575697035,515284248,89032621,
180.5,209104065,413713652,691191289,609566176,586612888,502037614,86053956,
181.5,198420432,415747697,674897704,563169697,593895161,489226138,83923842,
182.5,188826831,418744672,657916125,521161071,597266366,476783013,82335310,
183.5,180257942,422708017,640323602,483393316,596604981,464657572,81013152,
184.5,172652516,427633563,622207571,449661176,591951974,452821360,79745849,
185.5,165953632,433508594,603664833,419722270,583505313,441270928,78398537,
186.5,160108910,440310824,584800127,393314277,571603282,430027484,76911612,
187.5,155070654,448007315,565724352,370168322,556698703,419133869,75290615,
188.5,150795943,456553391,546552524,350018920,539327126,408649581,73591668,
189.5,147246659,465891589,527401547,332610964,520072442,398644640,71905005,
190.5,144389468,475950726,508387928,317704250,499533314,389193137,70338016,
191.5,142195751,486645170,489625516,305076024,478293247,380367142,68998659,
192.5,140641488,497874401,471223388,294521995,456896352,372231525,67980280,
193.5,139707115,509522956,453283961,285856174,435829853,364840012,67349206,
194.5,139377329,521460860,435901398,278909866,415513566,358232604,67136705,
195.5,139640867,533544599,419160370,273530050,396295793,352434336,67336493,
196.5,140490249,545618717,403135188,269577342,378454626,347455225,67907826,
197.5,141921479,557518044,387889312,266923705,362203352,343291178,68782832,
198.5,143933702,569070559,373475224,265450006,347698624,339925623,69875907,
199.5,146528822,580100834,359934626,265043541,335050162,337331597,71092991,
200.5,149711060,590433963,347298917,265595584,324330934,335474092,72339285,
201.5,153486449,599899839,335589896,266999063,315587014,334312452,73524849,
202.5,157862270,608337612,324820622,269146421,308846539,333802693,74568215,
203.5,162846402,615600115,314996378,271927744,304127393,333899606,75398476,
204.5,168446595,621558055,306115685,275229248,301443383,334558593,75956394,
205.5,174669659,626103747,298171297,278932183,300808791,335737135,76194975,
206.5,181520559,629154184,291151157,282912266,302241202,337395874,76079864,
207.5,189001424,630653299,285039257,287039674,305762554,339499241,75589794,
208.5,197110483,630573273,279816380,291179695,311398292,342015624,74717292,
209.5,205840919,628914845,275460711,295194022,319174517,344917003,73469775,
