220.5,1027425668,1757334861,1848947649,980867187,446781816,1212271436,262310978,
221.5,1069133014,1762203875,1850541931,959517674,430394120,1214358123,265094167,
222.5,1112629449,1766638642,1845861702,938394315,414981002,1215701022,267330325,
223.5,1157583000,1770461050,1834760031,917554439,400443100,1216160324,269063771,
224.5,1203608377,1773479200,1817190151,897036326,386692723,1215601356,270356598,
225.5,1250267474,1775489929,1793208711,876861542,373653227,1213896177,271285273,
226.5,1297071936,1776281646,1762975917,857037302,361258358,1210925032,271935613,
227.5,1343487994,1775637461,1726752517,837558800,349451551,1206577665,272396353,
228.5,1388943668,1773338576,1684893716,818411444,338185211,1200754523,272751761,
229.5,1432838325,1769167906,1637840248,799572962,327419960,1193367880,273073954,
230.5,1474554446,1762913888,1586106989,781015369,317123868,1184342912,273415751,
231.5,1513471309,1754374399,1530269580,762706748,307271673,1173618742,273804915,
232.5,1548980161,1743360726,1470949633,744612871,297844001,1161149478,274240570,
233.5,1580500300,1729701504,1408799120,726698626,288826594,1146905229,274692294,
234.5,1607495431,1713246532,1344484577,708929273,280209559,1130873074,275102034,
235.5,1629489530,1693870371,1278671715,691271520,271986645,1113057956,275388571,
236.5,1646081476,1671475645,1212010987,673694426,264154571,1093483421,275453948,
237.5,1656957721,1645995939,1145124575,656170147,256712395,1072192155,275191046,
238.5,1661902331,1617398217,1078595165,638674517,249660951,1049246236,274491465,
239.5,1660803885,1585684692,1012956763,621187495,243002349,1024727037,273252945,
240.5,1653658850,1550894061,948687701,603693472,236739545,998734726,271385749,
241.5,1640571281,1513102088,886205858,586181455,230875978,971387332,268817647,
242.5,1621748842,1472421471,825866042,568645147,225415280,942819356,265497333,
243.5,1597495417,1429001003,767959375,551082923,220361047,913179953,261396282,
244.5,1568200688,1383024013,712714467,533497722,215716677,882630713,256509196,
245.5,1534327255,1334706129,660300113,515896869,211485251,851343123,250853228,
246.5,1496395960,1284292383,610829235,498291832,207669463,819495775,244466243,
247.5,1454970140,1232053736,564363749,480697930,204271591,787271429,237404383,
248.5,1410639534,1178283083,520920078,463134000,201293480,754854035,229739172,
249.5,1364004552,1123290838,480475036,445622036,198736557,722425804,221554394,
250.5,1315661510,1067400189,442971834,428186798,196601834,690164433,212942940,
251.5,1266189344,1010942137,408326001,410855412,194889927,658240564,204003754,
252.5,1216138197,954250419,376431048,393656951,193601045,626815532,194839025,
253.5,1166020109,897656451,347163757,376622014,192734968,596039460,185551663,
254.5,1116301940,841484380,320388983,359782304,192290991,566049720,176243126,
255.5,1067400510,786046378,295963926,343170199,192267833,536969769,167011593,
256.5,1019679852,731638257,273741848,326818335,192663500,508908358,157950467,
257.5,973450381,678535517,253575221,310759190,193475097,481959081,149147174,
258.5,928969727,626989902,235318335,295024674,194698586,456200245,140682193,
259.5,886444954,577226516,218829400,279645742,196328481,431695019,132628255,
260.5,846035857,529441570,203972179,264652009,198357484,408491820,125049638,
261.5,807859045,483800776,190617207,250071397,200776047,386624894,118001489,
262.5,771992535,440438406,178642658,235929800,203571880,366115056,111529116,
263.5,738480622,399457011,167934892,222250776,206729393,346970539,105667246,
264.5,707338786,360927777,158388760,209055285,210229083,329187938,100439261,
265.5,678558501,324891474,149907689,196361448,214046885,312753199,95856532,
266.5,652111781,291359947,142403617,184184369,218153491,297642641,91917981,
267.5,627955389,260318081,135796792,172535991,222513667,283823984,88610093,
268.5,606034625,231726158,130015485,161425011,227085598,271257375,85907535,
269.5,586286678,205522522,124995635,150856842,231820289,259896393,83774472,
270.5,568643497,181626461,120680454,140833634,236661066,249689022,82166570,
271.5,553034218,159941231,117020012,131354348,241543224,240578606,81033478,
272.5,539387126,140357104,113970810,122414871,246393882,232504759,80321531,
273.5,527631211,122754397,111495353,114008194,251132085,225404248,79976362,
274.5,517697313,107006372,109561733,106124615,255669219,219211851,79945185,
275.5,509518908,92981983,108143228,98751994,259909785,213861180,80178600,
276.5,503032550,80548375,107217912,91876021,263752580,209285488,80631885,
277.5,498178009,69573137,106768277,85480517,267092309,205418450,81265841,
278.5,494898112,59926255,106780874,79547743,269821640,202194925,82047265,
279.5,493138333,51481766,107245954,74058717,271833693,199551693,82949184,
280.5,492846115,44119102,108157123,68993523,273024919,197428156,83950902,
281.5,493969982,37724132,109510984,64331622,273298291,195767002,85037941,
282.5,496458417,32189928,111306780,60052142,272566715,194514796,86201854,
283.5,500258544,27417263,113546013,56134146,270756501,193622493,87439919,
284.5,505314627,23314875,116232041,52556886,267810754,193045837,88754632,
285.5,511566398,19799531,119369650,49300028,263692478,192745617,90152972,
286.5,518947247,16795918,122964577,46343846,258387221,192687762,91645370,
287.5,527382311,14236398,127022993,43669393,251905047,192843228,93244365,
288.5,536786496,12060643,131550934,41258649,244281700,193187685,94962958,
289.5,547062502,10215208,136553676,39094637,235578797,193700964,96812727,
290.5,558098907,8653034,142035051,37161521,225882982,194366299,98801829,
291.5,569768414,7332929,147996710,35444681,215304018,195169350,100933050,
292.5,581926335,6219034,154437332,33930770,203971859,196097066,103202070,
293.5,594409450,5280292,161351791,32607759,192032819,197136422,105596141,
294.5,607035336,4489934,168730290,31464972,179645007,198273108,108093297,
295.5,619602316,3824990,176557493,30493104,166973273,199490235,110662176,
296.5,631890135,3265830,184811655,29684247,154183916,200767157,113262468,
297.5,643661487,2795740,193463803,29031904,141439440,202078475,115845929,
298.5,654664480,2400543,202476990,28531008,128893643,203393333,118357853,
299.5,664636117,2068246,211805655,28177947,116687268,204675047,120738897,
300.5,673306792,1788736,221395142,27970592,104944441,205881141,122927115,
301.5,680405800,1553507,231181407,27908332,93770014,206963812,124860102,
302.5,685667743,1355417,241090963,27992127,83247914,207870833,126477133,
303.5,688839700,1188487,251041092,28224563,73440483,208546865,127721245,
304.5,689688911,1047716,260940368,28609932,64388761,208935138,128541190,
305.5,688010705,928929,270689495,29154315,56113602,208979409,128893200,
306.5,683636316,828647,280182494,29865692,48617469,208626124,128742543,
307.5,676440209,743973,289308218,30754063,41886733,207826639,128064809,
308.5,666346506,672500,297952190,31831582,35894294,206539414,126846882,
309.5,653334129,612227,305998722,33112712,30602342,204732026,125087573,
310.5,637440290,561501,313333276,34614391,25965108,202382913,122797864,
311.5,618762042,518952,319844984,36356208,21931469,199482731,120000732,
312.5,597455680,483453,325429267,38360584,18447303,196035257,116730557,
313.5,573733914,454082,329990446,40652959,15457529,192057786,113032105,
314.5,547860834,430087,333444255,43261965,12907804,187580989,108959126,
315.5,520144847,410865,335720164,46219588,10745847,182648262,104572617,
316.5,490929866,395939,336763401,49561301,8922433,177314588,99938855,
317.5,460585160,384941,336536601,53326151,7392055,171644982,95127295,
318.5,429494330,377603,335021000,57556782,6113322,165712608,90208483,
319.5,398043966,373748,332217125,62299386,5049119,159596669,85252150,
320.5,366612500,373277,328144941,67603536,4166591,153380169,80325645,
321.5,335559803,376176,322843449,73521893,3436981,147147660,75492889,
322.5,305217956,382505,316369749,80109753,2835381,140983069,70813999,
323.5,275883597,392409,308797603,87424395,2340415,134967684,66345684,
324.5,247812075,406113,300215557,95524216,1933889,129178370,62142469,
325.5,221213578,423935,290724706,104467613,1600434,123686053,58258616,
326.5,196251242,446297,280436172,114311591,1327154,118554491,54750461,
327.5,173041150,473729,269468422,125110082,1103291,113839335,51678561,
328.5,151654037,506895,257944496,136911958,919919,109587461,49108675,
329.5,132118439,546607,245989271,149758756,769667,105836548,47110352,
330.5,114424971,593851,233726827,163682121,646468,102614848,45751982,
331.5,98531407,649816,221278018,178701021,545350,99941123,45092147,
332.5,84368222,715928,208758300,194818779,462249,97824696,45168990,
333.5,71844297,793892,196275869,212020024,393848,96265586,45991184,
334.5,60852508,885738,183930149,230267656,337447,95254700,47534267,
335.5,51274978,993879,171810633,249499977,290853,94774064,49743699,
336.5,42987831,1121169,159996100,269628117,252283,94797100,52542791,
337.5,35865322,1270981,148554165,290533952,220289,95288942,55841915,
338.5,29783299,1447283,137541161,312068670,193700,96206822,59546133,
339.5,24621966,1654732,127002312,334052176,171561,97500550,63560077,
340.5,20267984,1898770,116972148,356273498,153101,99113100,67790366,
341.5,16615945,2185730,107475126,378492331,137693,100981365,72146397,
342.5,13569299,2522952,98526412,400441821,124828,103037062,76540327,
343.5,11040810,2918895,90132773,421832650,114092,105207844,80886860,
344.5,8952635,3383255,82293538,442358394,105150,107418594,85103176,
