NTA Experiment Summary File
217.5,0,55699,92,11558,28730,19216,10524,
218.5,0,45178,75,15880,32842,18795,8960,
219.5,0,36305,62,21472,37626,19093,8283,
220.5,0,28908,53,28504,43164,20126,8620,
221.5,0,22810,45,37069,49540,21893,9880,
222.5,0,17837,39,47132,56836,24369,11834,
223.5,0,13826,34,58473,65128,27492,14270,
224.5,0,10624,31,70655,74479,31158,17027,
225.5,0,8095,28,83013,84932,35214,19963,
226.5,0,6117,26,94682,96506,39466,22943,
227.5,0,4584,25,104685,109186,43696,25841,
228.5,0,3409,24,112048,122915,47679,28555,
229.5,0,2515,23,115955,137586,51216,31038,
230.5,0,1842,23,115893,153041,54160,33309,
231.5,0,1339,23,111752,169061,56435,35459,
232.5,0,967,23,103869,185369,58046,37620,
233.5,0,693,24,92980,201632,59066,39911,
234.5,0,494,26,80103,217470,59618,42390,
235.5,0,350,27,66371,232464,59842,45022,
236.5,0,246,30,52860,246178,59863,47686,
237.5,0,172,32,40448,258171,59765,50214,
238.5,0,120,36,29724,268027,59582,52427,
239.5,0,83,41,20971,275372,59293,54172,
240.5,0,57,46,14200,279902,58841,55333,
241.5,0,39,53,9227,281398,58144,55842,
242.5,0,27,62,5753,279746,57118,55668,
243.5,0,18,72,3441,274944,55695,54816,
244.5,0,12,86,1975,267107,53836,53319,
245.5,0,8,102,1087,256460,51532,51233,
246.5,0,6,122,574,243328,48806,48631,
247.5,0,4,148,291,228116,45712,45601,
248.5,0,3,179,142,211288,42322,42241,
249.5,0,2,218,66,193341,38725,38654,
250.5,0,1,267,30,174778,35015,34941,
251.5,0,0,328,13,156082,31285,31199,
252.5,0,0,404,5,137696,27621,27519,
253.5,0,0,498,2,120006,24101,23976,
254.5,0,0,615,0,103326,20788,20635,
255.5,0,0,761,0,87895,17731,17542,
256.5,0,0,941,0,73875,14963,14729,
257.5,0,0,1163,0,61354,12503,12215,
258.5,0,0,1436,0,50356,10358,10003,
259.5,0,0,1771,0,40846,8523,8088,
260.5,0,0,2180,0,32750,6986,6455,
261.5,0,0,2677,0,25958,5727,5084,
262.5,0,0,3278,0,20343,4724,3956,
263.5,0,0,4001,0,15766,3953,3053,
264.5,0,0,4866,0,12084,3390,2369,
265.5,0,0,5894,0,9162,3011,1915,
266.5,0,0,7108,0,6873,2796,1713,
267.5,0,0,8532,0,5102,2727,1756,
268.5,0,0,10189,0,3749,2788,1988,
269.5,0,0,12103,0,2727,2966,2345,
270.5,0,0,14295,0,1964,3252,2787,
271.5,0,0,16786,0,1401,3637,3298,
272.5,0,0,19588,0,990,4116,3873,
273.5,0,0,22713,0,693,4681,4510,
274.5,0,0,26164,0,481,5329,5209,
275.5,0,0,29933,0,331,6053,5970,
276.5,0,0,34007,0,226,6847,6790,
277.5,0,0,38360,0,153,7703,7664,
278.5,0,0,42954,0,102,8611,8586,
279.5,0,0,47741,0,68,9562,9545,
280.5,0,0,52659,0,45,10541,10529,
281.5,0,0,57637,0,30,11533,11526,
282.5,0,0,62594,0,19,12523,12518,
283.5,0,0,67441,0,12,13491,13488,
284.5,0,0,72085,0,8,14419,14417,
285.5,0,0,76428,0,5,15287,15285,
286.5,0,0,80375,0,3,16076,16075,
287.5,0,0,83836,0,2,16768,16767,
288.5,0,0,86729,0,1,17346,17346,
289.5,0,0,88982,0,0,17797,17796,
290.5,0,0,90538,0,0,18108,18108,
291.5,0,0,91358,0,0,18272,18272,
292.5,0,0,91421,0,0,18284,18284,
293.5,0,0,90724,0,0,18145,18145,
294.5,0,0,89286,0,0,17857,17857,
295.5,0,0,87143,0,0,17429,17429,
296.5,0,0,84348,0,0,16870,16870,
297.5,0,0,80971,0,0,16194,16194,
298.5,0,0,77092,0,0,15418,15418,
299.5,0,0,72801,0,0,14560,14560,
300.5,0,0,68191,0,0,13638,13638,
301.5,0,0,63358,0,0,12672,12672,
302.5,0,0,58398,0,0,11680,11680,
303.5,0,0,53401,0,0,10680,10680,
304.5,0,0,48448,0,0,9690,9690,
305.5,0,0,43613,0,0,8723,8723,
306.5,0,0,38960,0,0,7792,7792,
307.5,0,0,34540,0,0,6908,6908,
308.5,0,0,30393,0,0,6079,6079,
309.5,0,0,26548,0,0,5310,5310,
310.5,0,0,23021,0,0,4604,4604,
311.5,0,0,19822,0,0,3964,3964,
312.5,0,0,16948,0,0,3390,3390,
313.5,0,0,14392,0,0,2878,2878,
314.5,0,0,12140,0,0,2428,2428,
315.5,0,0,10174,0,0,2035,2035,
316.5,0,0,8472,0,0,1694,1694,
317.5,0,0,7011,0,0,1402,1402,
318.5,0,0,5768,0,0,1154,1154,
319.5,0,0,4718,0,0,944,944,
320.5,0,0,3838,0,0,768,768,
321.5,0,0,3105,0,0,621,621,
322.5,0,0,2499,0,0,500,500,
323.5,0,0,2002,0,0,400,400,
324.5,0,0,1596,0,0,319,319,
325.5,0,0,1267,0,0,253,253,
326.5,0,0,1002,0,0,200,200,
327.5,0,0,789,0,0,158,158,
328.5,0,0,619,0,0,124,124,
329.5,0,0,485,0,0,97,97,
330.5,0,0,378,0,0,76,76,
331.5,0,0,294,0,0,59,59,
332.5,0,0,229,0,0,46,46,
333.5,0,0,177,0,0,35,35,
334.5,0,0,137,0,0,27,27,
335.5,0,0,106,0,0,21,21,
336.5,0,0,82,0,0,16,16,
337.5,0,0,63,0,0,13,13,
338.5,0,0,49,0,0,10,10,
339.5,0,0,38,0,0,8,8,
340.5,0,0,29,0,0,6,6,
341.5,0,0,23,0,0,5,5,
342.5,0,0,18,0,0,4,4,
343.5,0,0,14,0,0,3,3,
344.5,0,0,11,0,0,2,2,
345.5,0,0,9,0,0,2,2,
346.5,0,0,7,0,0,1,1,
347.5,0,0,5,0,0,1,1,
348.5,0,0,4,0,0,0,0,
349.5,0,0,3,0,0,0,0,
350.5,0,0,3,0,0,0,0,
351.5,0,0,2,0,0,0,0,
352.5,0,0,2,0,0,0,0,
353.5,0,0,1,0,0,0,0,
354.5,0,0,1,0,0,0,0,
355.5,0,0,1,0,0,0,0,
356.5,0,0,0,0,0,0,0,
357.5,0,0,0,0,0,0,0,
358.5,0,0,0,0,0,0,0,
359.5,0,0,0,0,0,0,0,
360.5,0,0,0,0,0,0,0,
361.5,0,0,0,0,0,0,0,
362.5,0,0,0,0,0,0,0,
363.5,0,0,0,0,0,0,0,
364.5,0,0,0,0,0,0,0,
365.5,0,0,0,0,0,0,0,
366.5,0,0,0,0,0,0,0,
367.5,0,0,0,0,0,0,0,
368.5,0,0,0,0,0,0,0,
369.5,0,0,0,0,0,0,0,
370.5,0,0,0,0,0,0,0,
371.5,0,0,0,0,0,0,0,
372.5,0,0,0,0,0,0,0,
373.5,0,0,0,0,0,0,0,
374.5,0,0,0,0,0,0,0,
375.5,0,0,0,0,0,0,0,
376.5,0,0,0,0,0,0,0,
377.5,0,0,0,0,0,0,0,
378.5,0,0,0,0,0,0,0,
379.5,0,0,0,0,0,0,0,
380.5,0,0,0,0,0,0,0,
381.5,0,0,0,0,0,0,0,
382.5,0,0,0,0,0,0,0,
383.5,0,0,0,0,0,0,0,
384.5,0,0,0,0,0,0,0,
385.5,0,0,0,0,0,0,0,
386.5,0,0,0,0,0,0,0,
387.5,0,0,1,0,0,0,0,
388.5,0,0,1,0,0,0,0,
389.5,0,0,1,0,0,0,0,
390.5,0,0,2,0,0,0,0,
391.5,0,0,2,0,0,0,0,
392.5,0,0,2,0,0,0,0,
393.5,0,0,3,0,0,0,0,
394.5,0,0,3,0,0,0,0,
395.5,0,0,4,0,0,0,0,
396.5,0,0,5,0,0,1,1,
397.5,0,0,6,0,0,1,1,
398.5,0,0,7,0,0,1,1,
399.5,0,0,9,0,0,2,2,
400.5,0,0,11,0,0,2,2,
401.5,0,0,13,0,0,3,3,
402.5,0,0,16,0,0,3,3,
403.5,0,0,20,0,0,4,4,
404.5,0,0,24,0,0,5,5,
405.5,0,0,29,0,0,6,6,
406.5,0,0,36,0,0,7,7,
407.5,0,0,44,0,0,9,9,
408.5,0,0,53,0,0,11,11,
409.5,0,0,65,0,0,13,13,
410.5,0,0,79,0,0,16,16,
411.5,0,0,96,0,0,19,19,
412.5,0,0,116,0,0,23,23,
413.5,0,0,140,0,0,28,28,
414.5,0,0,169,0,0,34,34,
415.5,0,0,204,0,0,41,41,
416.5,0,0,245,0,0,49,49,
417.5,0,0,294,0,0,59,59,
418.5,0,0,351,0,0,70,70,
419.5,0,0,418,0,0,84,84,
420.5,0,0,497,0,0,99,99,
421.5,0,0,589,0,0,118,118,
422.5,0,0,696,0,0,139,139,
423.5,0,0,820,0,0,164,164,
424.5,0,0,963,0,0,193,193,
425.5,0,0,1127,0,0,225,225,
426.5,0,0,1314,0,0,263,263,
427.5,0,0,1527,0,0,305,305,
428.5,0,0,1769,0,0,354,354,
429.5,0,0,2041,0,0,408,408,
430.5,0,0,2347,0,0,469,469,
431.5,0,0,2688,0,0,538,538,
432.5,0,0,3067,0,0,613,613,
433.5,0,0,3486,0,0,697,697,
434.5,0,0,3948,0,0,790,790,
435.5,0,0,4453,0,0,891,891,
436.5,0,0,5004,0,0,1001,1001,
437.5,0,0,5600,0,0,1120,1120,
438.5,0,0,6242,0,0,1248,1248,
439.5,0,0,6931,0,0,1386,1386,
440.5,0,0,7664,0,0,1533,1533,
441.5,0,0,8440,0,0,1688,1688,
442.5,0,0,9258,0,0,1852,1852,
443.5,0,0,10113,0,0,2023,2023,
444.5,0,0,11001,0,0,2200,2200,
445.5,0,0,11919,0,0,2384,2384,
446.5,0,0,12860,0,0,2572,2572,
447.5,0,0,13819,0,0,2764,2764,
448.5,0,0,14787,0,0,2957,2957,
449.5,0,0,15758,0,0,3152,3152,
450.5,0,0,16724,0,0,3345,3345,
451.5,0,0,17674,0,0,3535,3535,
452.5,0,0,18602,0,0,3720,3720,
453.5,0,0,19497,0,0,3899,3899,
454.5,0,0,20351,0,0,4070,4070,
455.5,0,0,21154,0,0,4231,4231,
456.5,0,0,21898,0,0,4380,4380,
457.5,0,0,22574,0,0,4515,4515,
458.5,0,0,23175,0,0,4635,4635,
459.5,0,0,23694,0,0,4739,4739,
460.5,0,0,24125,0,0,4825,4825,
461.5,0,0,24463,0,0,4893,4893,
462.5,0,0,24704,0,0,4941,4941,
463.5,0,0,24845,0,0,4969,4969,
464.5,0,0,24884,0,0,4977,4977,
465.5,0,0,24823,0,0,4965,4965,
466.5,0,0,24660,0,0,4932,4932,
467.5,0,0,24400,0,0,4880,4880,
468.5,0,0,24044,0,0,4809,4809,
469.5,0,0,23598,0,0,4720,4720,
470.5,0,0,23067,0,0,4613,4613,
471.5,0,0,22458,0,0,4492,4492,
472.5,0,0,21777,0,0,4355,4355,
473.5,0,0,21032,0,0,4206,4206,
474.5,0,0,20232,0,0,4046,4046,
475.5,0,0,19386,0,0,3877,3877,
476.5,0,0,18501,0,0,3700,3700,
477.5,0,0,17587,0,0,3517,3517,
478.5,0,0,16653,0,0,3331,3331,
479.5,0,0,15707,0,0,3141,3141,
480.5,0,0,14756,0,0,2951,2951,
481.5,0,0,13810,0,0,2762,2762,
482.5,0,0,12874,0,0,2575,2575,
483.5,0,0,11955,0,0,2391,2391,
484.5,0,0,11059,0,0,2212,2212,
485.5,0,0,10191,0,0,2038,2038,
486.5,0,0,9355,0,0,1871,1871,
487.5,0,0,8555,0,0,1711,1711,
488.5,0,0,7794,0,0,1559,1559,
489.5,0,0,7074,0,0,1415,1415,
490.5,0,0,6396,0,0,1279,1279,
491.5,0,0,5761,0,0,1152,1152,
492.5,0,0,5171,0,0,1034,1034,
493.5,0,0,4623,0,0,925,925,
494.5,0,0,4118,0,0,824,824,
495.5,0,0,3655,0,0,731,731,
496.5,0,0,3232,0,0,646,646,
497.5,0,0,2847,0,0,569,569,
498.5,0,0,2499,0,0,500,500,
499.5,0,0,2186,0,0,437,437,
500.5,0,0,1905,0,0,381,381,
