NTA Experiment Summary File
89.5,4459617,6477156,3959156,6896852,3510447,5060646,683951,
90.5,4431417,6479354,3812896,6037058,3124792,4777103,642825,
91.5,4405972,6441635,3675344,5199196,2761427,4496715,631281,
92.5,4376684,6352840,3544967,4421217,2425793,4224300,643770,
93.5,4337151,6204844,3420253,3726955,2122364,3962313,667236,
94.5,4281666,5993577,3299877,3127154,1854132,3711281,688973,
95.5,4205743,5719631,3182839,2622299,1622397,3470582,700601,
96.5,4106593,5388312,3068549,2206025,1426863,3239268,698290,
97.5,3983439,5009116,2956875,1868231,1265960,3016724,681614,
98.5,3837628,4594690,2848128,1597461,1137295,2803040,652324,
99.5,3672460,4159481,2743005,1382475,1038115,2599107,613370,
100.5,3492804,3718278,2642491,1213131,965703,2406482,568178,
101.5,3304532,3284888,2547739,1080752,917681,2227118,520158,
102.5,3113893,2871095,2459946,978187,892190,2063062,472365,
103.5,2926935,2486022,2380242,899696,887984,1916176,427324,
104.5,2749040,2135876,2309593,840757,904423,1787938,386953,
105.5,2584641,1824058,2248732,797863,941382,1679335,352584,
106.5,2437098,1551511,2198114,768324,999083,1590826,325053,
107.5,2308728,1317225,2157885,750104,1077815,1522351,304823,
108.5,2200934,1118792,2127873,741683,1177556,1473367,292089,
109.5,2114384,952929,2107579,741942,1297490,1442865,286814,
110.5,2049202,815931,2096179,750079,1435458,1429370,288670,
111.5,2005130,704023,2092519,765533,1587433,1430928,296904,
112.5,1981657,613609,2095126,787927,1747153,1445095,310235,
113.5,1978097,541429,2102221,817010,1906070,1468965,326853,
114.5,1993607,484648,2111751,852610,2053762,1499275,344572,
115.5,2027163,440879,2121447,894583,2178873,1532589,361104,
116.5,2077493,408186,2128902,942761,2270489,1565566,374416,
117.5,2142971,385045,2131682,996902,2319700,1595260,383093,
118.5,2221504,370317,2127461,1056629,2321008,1619384,386641,
119.5,2310411,363198,2114169,1121379,2273218,1636475,385641,
120.5,2406328,363185,2090142,1190352,2179580,1645917,381661,
121.5,2505167,370034,2054250,1262467,2047166,1647817,376891,
122.5,2602147,383725,2005987,1336342,1885656,1642771,373525,
123.5,2691924,404422,1945519,1410294,1705858,1631603,373048,
124.5,2768834,432435,1873660,1482371,1518296,1615119,375742,
125.5,2827225,468165,1791802,1550420,1332122,1593947,380654,
126.5,2861883,512049,1701793,1612185,1154474,1568477,386007,
127.5,2868473,564479,1605786,1665442,990274,1538891,389791,
128.5,2843959,625721,1506068,1708143,842362,1505251,390276,
129.5,2786934,695808,1404912,1738563,711854,1467614,386316,
130.5,2697799,774446,1304432,1755429,598572,1426135,377487,
131.5,2578769,860908,1206490,1758016,501474,1381131,364095,
