"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccdc40",2.74453722415452e-100,0.96491042080251,0.692,0.003,7.68415532018783e-96,"Ciliated cells","Ccdc40"
"Ift74",2.76036433492141e-100,1.00526299379607,0.732,0.026,7.72846806491296e-96,"Ciliated cells","Ift74"
"Iqcg",5.28425276713286e-100,0.928462423581639,0.689,0.003,1.47948508974186e-95,"Ciliated cells","Iqcg"
"Gsn1",1.09039264209495e-99,1.44847703359653,0.963,0.321,3.05288131933743e-95,"Ciliated cells","Gsn"
"Fam216a",1.34667612844053e-99,1.09490044463998,0.78,0.035,3.7704238244078e-95,"Ciliated cells","Fam216a"
"Dusp18",1.42252679194372e-99,1.04385362533172,0.79,0.055,3.98279051208402e-95,"Ciliated cells","Dusp18"
"Cdc14a",1.43047954171043e-99,1.14866969155253,0.796,0.062,4.00505662088085e-95,"Ciliated cells","Cdc14a"
"Dynll14",1.90154067652509e-99,1.3995174650456,0.997,0.78,5.32393358613496e-95,"Ciliated cells","Dynll1"
"Pgrmc1",2.58089817180606e-99,1.1355959822164,0.881,0.131,7.2259987014226e-95,"Ciliated cells","Pgrmc1"
"Cfap100",2.79539217779258e-99,0.958142133399913,0.68,0.003,7.82653901938367e-95,"Ciliated cells","Cfap100"
"Cyp2b10",3.91616818247726e-99,1.21252947225421,0.799,0.065,1.09644876772998e-94,"Ciliated cells","Cyp2b10"
"Fam47e",4.17108823554945e-99,0.945756314269884,0.692,0.003,1.16782128418914e-94,"Ciliated cells","Fam47e"
"Dpcd",5.26052908993752e-99,1.23802936159246,0.89,0.128,1.47284293460071e-94,"Ciliated cells","Dpcd"
"1700001L19Rik",5.86960762136477e-99,1.02519952201372,0.692,0.004,1.64337274182971e-94,"Ciliated cells","1700001L19Rik"
"Hydin",1.04317910432461e-98,0.983149034856886,0.677,0.002,2.92069285628805e-94,"Ciliated cells","Hydin"
"Ccpg1os",1.44209453753906e-98,1.04920637326486,0.735,0.031,4.03757628620187e-94,"Ciliated cells","Ccpg1os"
"1700024G13Rik",3.87422918096371e-98,1.05537540229484,0.68,0.001,1.08470668608622e-93,"Ciliated cells","1700024G13Rik"
"Ift81",5.0805088579825e-98,0.945524860214976,0.747,0.03,1.42244087005794e-93,"Ciliated cells","Ift81"
"Dnaic2",6.7815980781343e-98,0.857322047258234,0.677,0.002,1.89871182991604e-93,"Ciliated cells","Dnaic2"
