particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
136.5,358233,209217,86654,987183,717806,941337,695522,238563,150988,7705,15999,145946
137.5,336908,198161,119581,991646,665227,829344,914311,234329,154797,6207,13364,153746
138.5,316059,189422,163338,983184,611700,731228,1136978,230900,159918,4996,11144,162999
139.5,295585,182707,218166,962010,558263,646780,1331474,228223,166243,4014,9274,173722
140.5,275439,177768,281494,929135,505932,575253,1463315,226257,173632,3215,7697,185912
141.5,255619,174389,346677,886240,455628,515589,1505659,224960,181897,2565,6369,199531
142.5,236157,172385,402825,835481,408118,466599,1448467,224289,190794,2036,5253,214489
143.5,217115,171586,436770,779259,363985,427085,1302369,224187,200005,1606,4317,230627
144.5,198573,171835,437377,719996,323616,395933,1095159,224579,209140,1259,3534,247697
145.5,180622,172977,400693,659941,287207,372156,862615,225365,217740,978,2882,265351
146.5,163357,174859,332977,601029,254791,354921,637987,226411,225291,754,2341,283128
147.5,146870,177317,249112,544798,226266,343545,444502,227543,231252,576,1893,300453
148.5,131246,180179,166703,492370,201430,337492,292913,228545,235095,435,1525,316651
149.5,116556,183258,99249,444468,180015,336352,183413,229156,236351,325,1223,330968
150.5,102856,186352,52346,401471,161716,339816,109706,229068,234664,241,976,342620
151.5,90187,189248,24380,363477,146214,347646,63043,227941,229832,176,777,350840
152.5,78567,191723,10006,330377,133198,359641,35022,225415,221844,127,615,354952
153.5,67999,193549,3615,301922,122372,375593,18930,221135,210894,91,485,354435
154.5,58469,194505,1150,277773,113466,395236,10023,214785,197366,64,381,348985
155.5,49946,194385,322,257553,106238,418199,5234,206128,181803,45,298,338563
156.5,42388,193010,80,240869,100478,443943,2715,195044,164855,31,232,323413
157.5,35739,190240,17,227340,96000,471708,1408,181573,147211,21,181,304054
158.5,29939,185984,3,216602,92647,500471,735,165938,129539,14,140,281240
159.5,24919,180211,0,208314,90279,528918,389,148549,112432,9,108,255896
160.5,20610,172954,0,202154,88777,555461,210,129988,96365,6,83,229032
161.5,16938,164310,0,197811,88032,578288,116,110957,81679,4,63,201664
162.5,13833,154438,0,194979,87943,595472,66,92207,68576,3,48,174729
163.5,11228,143554,0,193340,88412,605130,39,74461,57136,2,37,149027
164.5,9059,131912,0,192555,89342,605620,24,58334,47338,1,28,125179
165.5,7264,119795,0,192256,90630,595756,15,44265,39084,0,21,103610
166.5,5791,107494,0,192034,92167,575000,10,32489,32230,0,16,84557
167.5,4589,95293,0,191447,93836,543600,7,23039,26609,0,12,68087
168.5,3616,83452,0,190025,95513,502633,5,15768,22046,0,9,54131
169.5,2833,72197,0,187295,97066,453938,4,10408,18373,0,7,42521
170.5,2207,61708,0,182814,98362,399942,3,6621,15438,0,5,33026
171.5,1710,52114,0,176217,99272,343395,3,4058,13108,0,4,25381
172.5,1318,43498,0,167269,99676,287070,2,2396,11269,0,3,19312
173.5,1010,35892,0,155912,99470,233472,2,1363,9829,0,2,14558
174.5,769,29287,0,142309,98576,184602,2,747,8711,0,1,10878
175.5,583,23643,0,126847,96947,141821,2,395,7857,0,1,8062
176.5,440,18891,0,110122,94571,105811,2,201,7220,0,0,5928
177.5,330,14948,0,92876,91472,76633,3,99,6766,0,0,4326
178.5,246,11720,0,75913,87709,53856,3,47,6468,0,0,3134
179.5,183,9111,0,59996,83372,36715,3,22,6311,0,0,2255
180.5,135,7027,0,45750,78577,24271,4,10,6282,0,0,1611
181.5,99,5382,0,33595,73451,15555,5,4,6379,0,0,1143
182.5,73,4095,0,23713,68132,9661,6,2,6601,0,0,806
183.5,53,3099,0,16063,62752,5814,7,0,6955,0,0,564
