particle_size,1_125_1_00,1_125_1_01,1_125_1_02,1_125_2_00,1_125_2_01,1_125_2_02,2_125_1_00,2_125_1_01,2_125_1_02,2_125_2_00,2_125_2_01,2_125_2_02,3_125_1_00,3_125_1_01,3_125_1_02,3_125_2_00,3_125_2_01,3_125_2_02,4_125_1_00,4_125_1_01,4_125_1_02,4_125_2_00,4_125_2_01,4_125_2_02,5_125_1_00,5_125_1_01,5_125_1_02,5_125_2_00,5_125_2_01,5_125_2_02,6_125_1_00,6_125_1_01,6_125_1_02,6_125_2_00,6_125_2_01,6_125_2_02
104.5,5329958,7940302,6106317,13028667,9547675,6325427,5718556,5860545,3557570,4188702,4928191,3789008,9176943,4006062,3841345,6148898,5911187,5414067,8758905,3758070,5637580,8920325,8159572,6330196,9429067,8714810,7155730,7724185,11008747,11191867,4949322,5113034,6995498,7174856,9076402,6113968
105.5,5459038,7947723,6450874,12615431,9389032,5940733,5843582,6000398,3357625,4203492,4880033,3701964,9023565,4030817,3848308,6368187,5828349,5736050,7785371,3918112,5558157,8999800,7912353,6077834,8958601,8187879,7398211,7698765,10982528,10827879,4827227,5018148,7218179,7620328,9044919,6481290
106.5,5600899,7972222,6777846,12069704,9203694,5575133,5960965,6138326,3168470,4209916,4805069,3605781,8766129,4036823,3853352,6578956,5754018,6080276,6813573,4108282,5448769,9030868,7651069,5845138,8516125,7728304,7623224,7673573,10936640,10452282,4731458,4955701,7358032,8055049,8920846,6815546
107.5,5756663,8010142,7079263,11444349,8998814,5231596,6067416,6276435,2991760,4209579,4708877,3502042,8415010,4016125,3854303,6778482,5691934,6440352,5891181,4328267,5318911,9014868,7382991,5632541,8107185,7338440,7825219,7649610,10865384,10071968,4664256,4926833,7413714,8470189,8725370,7107098
108.5,5926944,8057225,7347852,10786765,8780337,4911670,6159656,6415333,2828570,4204112,4596879,3392666,7984627,3963796,3848972,6963846,5644744,6807825,5050412,4576987,5177503,8954939,7114352,5439349,7735419,7017340,7998932,7627583,10763910,9693271,4626615,4931876,7387963,8856939,8480085,7347833
109.5,6111781,8108813,7577500,10135863,8553046,4615920,6234593,6554128,2679523,4195121,4474109,3279805,7492287,3878424,3835337,7132061,5614068,7172400,4308966,4852387,5032447,8855717,6850302,5264118,7402901,6761967,8139732,7607941,10628680,9321908,4618533,4970511,7287172,9206920,8205351,7531808
110.5,6310558,8160055,7763615,9520985,8320701,4344283,6289489,6690500,2544903,4184140,4345068,3165710,6956806,3762108,3811719,7280211,5600588,7522363,3672692,5151237,4890395,8722928,6594922,5104961,7110468,6568098,8243933,7590914,10457792,8962940,4639171,5041839,7120667,9512585,7919190,7655690
111.5,6521938,8206136,7903368,8962289,8086213,4096317,6322110,6820830,2424748,4172583,4213650,3052599,6397087,3619952,3776926,7405598,5604138,7845206,3138928,5468971,4756656,8562952,6351288,4959790,6858026,6430949,8309048,7576535,10251167,8620730,4686957,5144375,6899809,9767577,7636675,7718929
112.5,6743800,8242496,7995773,8472006,7851843,3871386,6330846,6940390,2318926,4161709,4083125,2942536,5830845,3459175,3730361,7505897,5623783,8128411,2699730,5799586,4635250,8382377,6121560,4826520,6644811,6345563,8333949,7564658,10010565,8298921,4759606,5276000,6637030,9967012,7369757,7723653
113.5,6973201,8265055,8041615,8056059,7619383,3668781,6314791,7043603,2227192,4152584,3956166,2837337,5273625,3288053,3672080,7579290,5657903,8360325,2344533,6135658,4529016,8187612,5907094,4703221,6469605,6307040,8318919,7554978,9739453,8000433,4854120,5433866,6344928,10107677,7127395,7674320
