particle_size,qEV6_mGWT16_20_no_00,qEV6_mGWT16_20_no_01,qEV6_mGWT16_20_no_02,qEV8_mGWT16_20_no_00,qEV8_mGWT16_20_no_01,qEV8_mGWT16_20_no_02,qEV7_mGWT16_20_no_00,qEV7_mGWT16_20_no_01,qEV7_mGWT16_20_no_02,TEI_mGWT16_500_no_00,TEI_mGWT16_500_no_01,TEI_mGWT16_500_no_02
207.5,0,0,0,222776,233782,111910,61720,178271,13442,244618,164997,0
208.5,0,0,0,221642,227270,133442,68819,166690,12861,229459,163523,0
209.5,0,0,0,220691,220615,155912,76435,155547,12364,214000,161724,0
210.5,0,0,0,219880,213831,178262,84492,144935,11942,198500,159622,0
211.5,0,0,0,219156,206930,199211,92883,134912,11588,183196,157242,0
212.5,0,0,0,218461,199932,217370,101469,125514,11298,168295,154607,0
213.5,0,0,0,217729,192856,231386,110078,116749,11065,153968,151740,0
214.5,0,0,0,216890,185725,240109,118508,108610,10887,140350,148663,0
215.5,0,0,0,215874,178566,242747,126533,101075,10759,127542,145397,0
216.5,0,0,0,214609,171405,238988,133910,94110,10679,115611,141964,0
217.5,0,0,0,213027,164272,229053,140391,87675,10645,104593,138386,0
218.5,0,0,0,211063,157196,213671,145737,81723,10656,94497,134683,0
219.5,0,0,0,208662,150207,193990,149728,76207,10710,85314,130878,0
220.5,0,0,0,205774,143334,171417,152180,71078,10806,77014,126993,0
221.5,0,0,0,202362,136607,147451,152958,66287,10945,69555,123054,0
222.5,0,0,0,198401,130050,123504,151986,61790,11127,62888,119083,0
223.5,0,0,0,193878,123690,100768,149252,57542,11353,56956,115107,0
224.5,0,0,0,188796,117546,80129,144815,53506,11622,51700,111152,0
225.5,0,0,0,183169,111639,62136,138800,49648,11938,47062,107242,0
226.5,0,0,0,177026,105983,47021,131393,45937,12301,42983,103405,0
227.5,0,0,0,170408,100590,34751,122829,42353,12713,39410,99666,0
228.5,0,0,0,163365,95470,25106,113378,38878,13177,36290,96048,0
229.5,0,0,0,155958,90627,17748,103331,35502,13695,33576,92574,0
230.5,0,0,0,148254,86064,12289,92979,32221,14270,31225,89267,0
231.5,0,0,0,140323,81781,8345,82604,29039,14905,29198,86146,0
232.5,0,0,0,132239,77775,5564,72460,25964,15604,27462,83228,0
233.5,0,0,0,124075,74040,3648,62762,23008,16370,25985,80528,0
234.5,0,0,0,115905,70569,2354,53685,20187,17206,24743,78061,0
235.5,0,0,0,107795,67354,1498,45354,17522,18117,23712,75837,0
236.5,0,0,0,99809,64384,942,37851,15030,19105,22873,73867,0
237.5,0,0,0,92004,61648,585,31213,12729,20175,22211,72160,0
238.5,0,0,0,84432,59134,360,25437,10633,21331,21712,70723,0
239.5,0,0,0,77135,56830,220,20494,8755,22574,21365,69562,0
240.5,0,0,0,70149,54723,134,16327,7097,23909,21162,68684,0
241.5,0,0,0,63504,52800,81,12868,5660,25337,21097,68094,0
242.5,0,0,0,57222,51047,49,10037,4438,26860,21165,67797,0
243.5,0,0,0,51317,49452,30,7750,3417,28480,21364,67800,0
244.5,0,0,0,45799,48002,18,5928,2583,30194,21693,68109,0
245.5,0,0,0,40672,46684,11,4493,1915,32004,22152,68729,0
246.5,0,0,0,35936,45484,7,3377,1392,33904,22742,69667,0
247.5,0,0,0,31584,44391,4,2518,991,35892,23467,70927,0
248.5,0,0,0,27609,43393,3,1864,691,37961,24328,72515,0
249.5,0,0,0,23999,42477,2,1371,471,40104,25331,74434,0
250.5,0,0,0,20739,41631,0,1002,314,42310,26480,76683,0
251.5,0,0,0,17813,40844,0,728,205,44567,27779,79261,0
252.5,0,0,0,15203,40105,0,527,131,46862,29233,82158,0
253.5,0,0,0,12891,39403,0,380,81,49178,30846,85360,0
254.5,0,0,0,10855,38727,0,274,49,51497,32619,88843,0
255.5,0,0,0,9076,38067,0,197,29,53799,34556,92575,0
256.5,0,0,0,7532,37413,0,141,17,56062,36653,96507,0
257.5,0,0,0,6202,36757,0,101,10,58263,38909,100580,0
258.5,0,0,0,5066,36090,0,73,5,60377,41315,104716,0
259.5,0,0,0,4104,35404,0,52,3,62380,43862,108823,0
260.5,0,0,0,3295,34694,0,38,2,64247,46532,112790,0
261.5,0,0,0,2622,33953,0,27,0,65952,49306,116490,0
262.5,0,0,0,2068,33177,0,20,0,67472,52154,119785,0
263.5,0,0,0,1615,32364,0,15,0,68784,55044,122525,0
264.5,0,0,0,1248,31510,0,11,0,69868,57936,124559,0
265.5,0,0,0,955,30616,0,8,0,70706,60782,125739,0
266.5,0,0,0,723,29682,0,6,0,71283,63529,125931,0
267.5,0,0,0,542,28711,0,5,0,71589,66118,125023,0
268.5,0,0,0,402,27704,0,4,0,71615,68486,122936,0
269.5,0,0,0,294,26667,0,3,0,71359,70568,119634,0
270.5,0,0,0,213,25603,0,2,0,70821,72296,115126,0
271.5,0,0,0,153,24521,0,2,0,70007,73606,109476,0
272.5,0,0,0,108,23424,0,1,0,68925,74438,102798,0
