particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_2_1_00,std_after_125_2_1_01,std_after_125_2_1_02,std_after_125_2_2_00,std_after_125_2_2_01,std_after_125_2_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_2_1_00,std_before_125_2_1_01,std_before_125_2_1_02,std_before_125_2_2_00,std_before_125_2_2_01,std_before_125_2_2_02
142.5,135743,35,271330,898823,956103,147677,228503,748780,370937,419024,838443,80756,22865,86034,370008,150274,403840,124282,786,133984,677848,6579,78917,1661
143.5,131576,28,240896,862256,966931,96964,208761,878729,349684,402747,929875,96142,18535,75280,402955,128731,427540,147775,2090,238975,541486,5577,77334,1276
144.5,129563,24,213723,822304,971308,61910,190094,1011647,327083,380907,1026581,113820,15346,66275,432094,108938,448456,175888,5398,391150,408128,4755,75912,983
145.5,129650,22,189518,780711,968411,38454,172539,1135247,303465,354225,1126044,133831,13028,58862,455322,91031,465858,209017,13365,580463,289413,4079,74704,760
146.5,131855,21,168004,739036,957636,23241,156133,1233791,279225,323772,1224995,156138,11379,52879,470653,75097,479198,247363,31307,772386,192615,3519,73774,589
147.5,136269,22,148925,698589,938643,13669,140906,1290364,254796,290845,1319505,180602,10256,48170,476470,61157,488148,290819,68498,912399,120070,3054,73197,458
148.5,143059,24,132040,660396,911398,7823,126877,1290612,230621,256829,1405162,206969,9562,44600,471759,49174,492627,338851,138316,948362,69995,2665,73055,357
149.5,152472,28,117130,625205,876184,4355,114050,1227101,207120,223049,1477362,234860,9236,42057,456290,39053,492795,390392,254877,860695,38114,2338,73436,280
150.5,164832,34,103991,593506,833607,2357,102410,1102747,184670,190658,1531676,263750,9253,40463,430691,30650,489024,443758,424143,677571,19373,2062,74433,220
151.5,180544,43,92436,565572,784563,1240,91926,931621,163583,160556,1564255,292965,9616,39770,396415,23790,481851,496635,631332,460183,9189,1827,76149,174
152.5,200086,59,82295,541491,730201,633,82555,736192,144092,133356,1572238,321669,10360,39969,355571,18279,471924,546147,833298,268473,4068,1625,78689,137
153.5,223991,84,73413,521213,671856,314,74238,541666,126350,109388,1554084,348874,11559,41090,310671,13918,459944,589036,967784,134110,1682,1451,82170,109
154.5,252821,124,65650,504574,610976,151,66908,369530,110429,88738,1509784,373449,13330,43208,264334,10516,446613,621950,982293,57236,650,1300,86714,87
155.5,287103,190,58877,491325,549043,70,60493,232880,96333,71296,1440918,394160,15845,46446,218990,7895,432587,641815,866267,20846,235,1169,92444,69
156.5,327257,303,52982,481149,487490,32,54916,135135,84006,56817,1350529,409729,19353,50980,176651,5899,418450,646259,660524,6478,80,1052,99477,56
157.5,373469,496,47863,473670,427629,14,50101,72001,73350,44979,1242853,418926,24198,57045,138764,4394,404690,633990,433753,1719,25,949,107905,45
