particle_size,std_10000_no_1_00,std_10000_no_1_01,std_10000_no_1_02,std_10000_yes_1_00,std_10000_yes_1_01,std_10000_yes_1_02,std_10000_no_2_00,std_10000_no_2_01,std_10000_no_2_02,std_10000_yes_2_00,std_10000_yes_2_01,std_10000_yes_2_02,std_10000_no_3_00,std_10000_no_3_01,std_10000_no_3_02,std_10000_yes_3_00,std_10000_yes_3_01,std_10000_yes_3_02
146.5,354014,1008611,10674,1118620,215370,909306,1874934,114366,403851,1483064,92167,484,1067,402345,1459,589488,47049,5509
147.5,252153,966905,9327,1249383,214812,1004816,1753502,81700,424016,1363370,61334,232,626,362255,894,462319,70600,5482
148.5,177071,925565,8397,1388656,217353,1119355,1630622,57275,450194,1235400,39647,108,365,319364,547,345659,105689,5615
149.5,122765,884817,7802,1531644,223076,1253664,1507037,39379,482331,1103250,24903,49,211,275004,334,245617,156499,5918
150.5,84160,844886,7494,1672110,232172,1407348,1383686,26541,520166,970945,15209,21,122,230784,205,165406,227250,6417
151.5,57140,805977,7449,1802695,244942,1578223,1261646,17526,563100,842159,9041,9,70,188380,125,105302,320848,7153
152.5,38489,768266,7665,1915494,261808,1761600,1142065,11335,610047,719994,5238,4,40,149315,77,63236,436793,8186
153.5,25767,731891,8168,2002862,283321,1949637,1026097,7177,659285,606846,2962,2,23,114773,48,35753,568780,9604
154.5,17176,696945,9010,2058322,310168,2130990,914841,4448,708366,504354,1638,0,13,85470,30,19003,703074,11533
155.5,11422,663476,10276,2077415,343188,2291032,809281,2698,754092,413428,887,0,7,61624,18,9484,819141,14145
156.5,7592,631481,12100,2058326,383376,2412913,710245,1600,792649,334324,472,0,4,43005,12,4441,893686,17678
157.5,5054,600913,14679,2002134,431885,2479603,618373,929,819898,266762,247,0,2,29051,7,1950,907671,22458
158.5,3376,571680,18300,1912649,490017,2476753,534100,527,831860,210057,128,0,1,19005,5,803,853776,28925
159.5,2267,543653,23368,1795862,559201,2395888,457652,293,825322,163251,65,0,0,12048,3,310,740471,37662
160.5,1533,516666,30458,1659141,640947,2237066,389056,159,798473,125228,33,0,0,7409,2,112,589975,49436
