particle_size,1_25_1_00,1_25_1_01,1_25_1_02,1_25_2_00,1_25_2_01,1_25_2_02,2_25_1_00,2_25_1_01,2_25_1_02,2_25_2_00,2_25_2_01,2_25_2_02,3_25_1_00,3_25_1_01,3_25_1_02,3_25_2_00,3_25_2_01,3_25_2_02,4_25_1_00,4_25_1_01,4_25_1_02,4_25_2_00,4_25_2_01,4_25_2_02
178.5,0,1328805,2099546,1444990,810989,1505848,1228779,1158576,592919,2684099,1109135,1343351,1327829,1264713,1077831,1607882,947301,905483,3211785,3440183,2904228,4176380,2058098,3950685
179.5,0,1252421,2087191,1398529,810475,1463873,1226810,1133197,589565,2608837,1175157,1286866,1327387,1245169,1043750,1581780,967320,937604,3183928,3432190,2872866,4131241,2093776,3850086
180.5,0,1179646,2071258,1356006,812936,1425473,1224027,1108541,590131,2513354,1244153,1231075,1323957,1224123,1008537,1552519,988251,970831,3159701,3412780,2844125,4083398,2139101,3747537
181.5,0,1110661,2051852,1317206,818302,1390705,1220345,1084704,594456,2401384,1315604,1176588,1317457,1201608,972466,1520297,1009911,1004881,3138894,3382148,2817640,4033997,2194007,3643691
182.5,0,1045584,2029095,1281900,826508,1359569,1215667,1061768,602408,2276963,1388892,1123946,1307869,1177676,935841,1485357,1032109,1039449,3121286,3340743,2793043,3984061,2258415,3539169
183.5,0,984477,2003124,1249849,837495,1332014,1209884,1039799,613871,2144176,1463308,1073611,1295239,1152398,898987,1447974,1054643,1074211,3106650,3289241,2769971,3934468,2332210,3434553
184.5,0,927350,1974089,1220810,851207,1307951,1202883,1018848,628740,2006926,1538056,1025968,1279676,1125864,862237,1408455,1077302,1108833,3094750,3228518,2748063,3885930,2415221,3330385
185.5,0,874170,1942153,1194540,867587,1287255,1194547,998955,646910,1868752,1612271,981322,1261341,1098181,825919,1367125,1099869,1142969,3085344,3159608,2726966,3838988,2507202,3227159
186.5,0,824870,1907492,1170797,886572,1269777,1184761,980150,668270,1732711,1685032,939910,1240446,1069473,790348,1324326,1122117,1176276,3078181,3083666,2706336,3794004,2607807,3125323
187.5,0,779353,1870289,1149345,908095,1255348,1173417,962452,692692,1601307,1755387,901901,1217243,1039875,755816,1280403,1143820,1208414,3073003,3001920,2685843,3751163,2716568,3025277
188.5,0,737501,1830741,1129955,932076,1243779,1160418,945873,720018,1476475,1822372,867407,1192017,1009534,722587,1235702,1164747,1239056,3069544,2915635,2665170,3710482,2832873,2927372
189.5,0,699178,1789052,1112406,958419,1234871,1145680,930416,750060,1359604,1885040,836492,1165074,978604,690889,1190561,1184672,1267896,3067531,2826069,2644018,3671817,2955947,2831911
190.5,0,664237,1745436,1096489,987011,1228417,1129141,916078,782580,1251592,1942485,809182,1136731,947245,660916,1145307,1203370,1294652,3066684,2734443,2622110,3634877,3084835,2739151
