particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
275.5,0,0,0,0,0,0,0,0,0,0,0,0
276.5,0,0,0,0,0,0,0,0,0,0,0,0
277.5,0,0,0,0,0,0,0,0,0,0,0,0
278.5,0,0,0,0,0,0,0,0,0,0,0,0
279.5,0,0,0,0,0,0,0,0,0,0,0,0
280.5,0,0,0,0,0,0,0,0,0,0,0,0
281.5,0,0,0,0,0,0,0,0,0,0,0,0
282.5,0,0,0,0,0,0,0,0,0,0,0,0
283.5,0,0,0,0,0,0,0,0,0,0,0,0
284.5,0,0,0,0,0,0,0,0,0,0,0,0
285.5,1,0,0,0,0,0,0,0,0,0,0,0
286.5,3,0,0,0,0,0,0,0,0,0,0,0
287.5,5,0,0,0,0,0,0,0,0,0,0,0
288.5,9,0,0,0,0,0,0,0,0,0,0,0
289.5,17,0,0,0,0,0,0,0,0,0,0,0
290.5,30,0,0,0,0,0,0,0,0,0,0,0
291.5,52,0,0,0,0,0,0,0,0,0,0,0
292.5,90,0,0,0,0,0,0,0,0,0,0,0
293.5,151,0,0,0,0,0,0,0,0,0,0,0
294.5,247,0,0,0,0,0,0,0,0,0,0,0
295.5,398,0,0,0,0,0,0,0,0,0,0,0
296.5,627,0,0,0,0,0,0,0,0,0,0,0
297.5,968,0,0,0,0,0,0,0,0,0,0,0
298.5,1463,0,0,0,0,0,0,0,0,0,0,0
299.5,2165,0,0,0,0,0,0,0,0,0,0,0
300.5,3138,0,0,0,0,0,0,0,0,0,0,0
301.5,4455,0,0,0,0,0,0,0,0,0,0,0
302.5,6194,0,0,0,0,0,0,0,0,0,0,0
303.5,8434,0,0,0,0,0,0,0,0,0,0,0
304.5,11248,0,0,0,0,0,0,0,0,0,0,0
305.5,14693,0,0,0,0,0,0,0,0,0,0,0
306.5,18800,0,0,0,0,0,0,0,0,0,0,0
307.5,23563,0,0,0,0,0,0,0,0,0,0,0
308.5,28931,0,0,0,0,0,0,0,0,0,0,0
309.5,34799,0,0,0,0,0,0,0,0,0,0,0
310.5,41006,0,0,0,0,0,0,0,0,0,0,0
311.5,47339,0,0,0,0,0,0,0,0,0,0,0
312.5,53546,0,0,0,0,0,0,0,0,0,0,0
313.5,59342,0,0,0,0,0,0,0,0,0,0,0
314.5,64439,0,0,0,0,0,0,0,0,0,0,0
315.5,68565,0,0,0,0,0,0,0,0,0,0,0
316.5,71490,0,0,0,0,0,0,0,0,0,0,0
317.5,73043,0,0,0,0,0,0,0,0,0,0,0
318.5,73133,0,0,0,0,0,0,0,0,0,0,0
319.5,71758,0,0,0,0,0,0,0,0,0,0,0
320.5,69000,0,0,0,0,0,0,0,0,0,2,0
321.5,65021,0,0,0,0,0,0,0,0,0,4,0
322.5,60048,0,0,0,0,0,0,0,0,0,9,0
323.5,54348,0,0,0,0,0,0,0,0,0,20,0
324.5,48206,0,0,0,0,0,0,0,0,0,42,0
325.5,41905,0,0,0,0,0,0,0,0,0,86,0
326.5,35700,0,0,0,0,0,0,0,0,0,172,0
327.5,29806,0,0,0,0,0,0,0,0,0,331,0
328.5,24387,0,0,0,0,0,0,0,0,0,617,0
329.5,19554,0,0,0,0,0,0,0,0,0,1110,0
330.5,15365,0,0,0,0,0,0,0,0,0,1929,0
331.5,11831,0,0,0,0,0,0,0,0,0,3239,0
332.5,8927,0,0,0,0,0,0,0,0,0,5253,0
333.5,6600,0,0,0,0,0,0,0,0,0,8229,0
334.5,4781,0,0,0,0,0,0,0,0,0,12449,0
335.5,3394,0,0,0,0,0,0,0,0,0,18187,0
336.5,2360,0,0,0,0,0,0,0,0,0,25656,0
337.5,1608,0,0,0,0,0,0,0,0,0,34942,0
338.5,1073,0,0,0,0,0,0,0,0,0,45944,0
339.5,702,0,0,0,0,0,0,0,0,0,58320,0
340.5,450,0,0,0,0,0,0,0,0,0,71462,0
341.5,282,0,0,0,0,0,0,0,0,0,84526,0
342.5,173,0,0,0,0,0,0,0,0,0,96506,0
343.5,104,0,0,0,0,0,0,0,0,0,106352,0
344.5,61,0,0,0,0,0,0,0,0,0,113126,0
345.5,35,0,0,0,0,0,0,0,0,0,116143,0
346.5,20,0,0,0,0,0,0,0,0,0,115089,0
347.5,11,0,0,0,0,0,0,0,0,0,110075,0
348.5,6,0,0,0,0,0,0,0,0,0,101615,0
349.5,3,0,0,0,0,0,0,0,0,0,90540,0
350.5,2,0,0,0,0,0,0,0,0,0,77866,0
351.5,0,0,0,0,0,0,0,0,0,0,64637,0
352.5,0,0,0,0,0,0,0,0,0,0,51792,0
353.5,0,0,0,0,0,0,0,0,0,0,40058,0
354.5,0,0,0,0,0,0,0,0,0,0,29908,0
355.5,0,0,0,0,0,0,0,0,0,0,21556,0
356.5,0,0,0,0,0,0,0,0,0,0,14999,0
357.5,0,0,0,0,0,0,0,0,0,0,10075,0
358.5,0,0,0,0,0,0,0,0,0,0,6534,0
359.5,0,0,0,0,0,0,0,0,0,0,4092,0
360.5,0,0,0,0,0,0,0,0,0,0,2474,0
