particle_size,sample,filter,dilution_factor,tech_rep,values
286.5,mG15.5,yes,500,00,0
287.5,mG15.5,yes,500,00,0
288.5,mG15.5,yes,500,00,0
289.5,mG15.5,yes,500,00,0
290.5,mG15.5,yes,500,00,0
291.5,mG15.5,yes,500,00,0
292.5,mG15.5,yes,500,00,0
293.5,mG15.5,yes,500,00,0
294.5,mG15.5,yes,500,00,0
295.5,mG15.5,yes,500,00,0
296.5,mG15.5,yes,500,00,0
297.5,mG15.5,yes,500,00,0
298.5,mG15.5,yes,500,00,0
299.5,mG15.5,yes,500,00,0
300.5,mG15.5,yes,500,00,0
301.5,mG15.5,yes,500,00,0
302.5,mG15.5,yes,500,00,0
303.5,mG15.5,yes,500,00,0
304.5,mG15.5,yes,500,00,0
305.5,mG15.5,yes,500,00,0
306.5,mG15.5,yes,500,00,0
307.5,mG15.5,yes,500,00,0
308.5,mG15.5,yes,500,00,0
309.5,mG15.5,yes,500,00,0
310.5,mG15.5,yes,500,00,0
311.5,mG15.5,yes,500,00,0
312.5,mG15.5,yes,500,00,0
313.5,mG15.5,yes,500,00,0
314.5,mG15.5,yes,500,00,0
315.5,mG15.5,yes,500,00,0
316.5,mG15.5,yes,500,00,0
317.5,mG15.5,yes,500,00,0
318.5,mG15.5,yes,500,00,0
319.5,mG15.5,yes,500,00,0
320.5,mG15.5,yes,500,00,0
321.5,mG15.5,yes,500,00,0
322.5,mG15.5,yes,500,00,0
323.5,mG15.5,yes,500,00,0
324.5,mG15.5,yes,500,00,0
325.5,mG15.5,yes,500,00,0
326.5,mG15.5,yes,500,00,0
327.5,mG15.5,yes,500,00,0
328.5,mG15.5,yes,500,00,0
329.5,mG15.5,yes,500,00,0
330.5,mG15.5,yes,500,00,0
331.5,mG15.5,yes,500,00,0
332.5,mG15.5,yes,500,00,0
333.5,mG15.5,yes,500,00,0
334.5,mG15.5,yes,500,00,0
335.5,mG15.5,yes,500,00,0
336.5,mG15.5,yes,500,00,0
337.5,mG15.5,yes,500,00,0
338.5,mG15.5,yes,500,00,0
339.5,mG15.5,yes,500,00,0
340.5,mG15.5,yes,500,00,0
341.5,mG15.5,yes,500,00,0
342.5,mG15.5,yes,500,00,0
343.5,mG15.5,yes,500,00,0
344.5,mG15.5,yes,500,00,0
345.5,mG15.5,yes,500,00,0
346.5,mG15.5,yes,500,00,0
347.5,mG15.5,yes,500,00,0
348.5,mG15.5,yes,500,00,0
349.5,mG15.5,yes,500,00,0
350.5,mG15.5,yes,500,00,0
351.5,mG15.5,yes,500,00,0
352.5,mG15.5,yes,500,00,0
353.5,mG15.5,yes,500,00,0
354.5,mG15.5,yes,500,00,0
355.5,mG15.5,yes,500,00,0
356.5,mG15.5,yes,500,00,0
357.5,mG15.5,yes,500,00,0
358.5,mG15.5,yes,500,00,0
359.5,mG15.5,yes,500,00,0
360.5,mG15.5,yes,500,00,0
361.5,mG15.5,yes,500,00,0
362.5,mG15.5,yes,500,00,0
363.5,mG15.5,yes,500,00,0
364.5,mG15.5,yes,500,00,0
365.5,mG15.5,yes,500,00,0
366.5,mG15.5,yes,500,00,0
367.5,mG15.5,yes,500,00,0
368.5,mG15.5,yes,500,00,0
369.5,mG15.5,yes,500,00,0
370.5,mG15.5,yes,500,00,0
371.5,mG15.5,yes,500,00,0
372.5,mG15.5,yes,500,00,0
373.5,mG15.5,yes,500,00,0
374.5,mG15.5,yes,500,00,0
375.5,mG15.5,yes,500,00,0
376.5,mG15.5,yes,500,00,0
377.5,mG15.5,yes,500,00,0
378.5,mG15.5,yes,500,00,0
379.5,mG15.5,yes,500,00,0
380.5,mG15.5,yes,500,00,0
381.5,mG15.5,yes,500,00,0
382.5,mG15.5,yes,500,00,0
383.5,mG15.5,yes,500,00,0
384.5,mG15.5,yes,500,00,0
385.5,mG15.5,yes,500,00,0
386.5,mG15.5,yes,500,00,0
387.5,mG15.5,yes,500,00,0
388.5,mG15.5,yes,500,00,0
389.5,mG15.5,yes,500,00,0
390.5,mG15.5,yes,500,00,0
391.5,mG15.5,yes,500,00,0
392.5,mG15.5,yes,500,00,0
393.5,mG15.5,yes,500,00,0
394.5,mG15.5,yes,500,00,0
395.5,mG15.5,yes,500,00,0
396.5,mG15.5,yes,500,00,0
397.5,mG15.5,yes,500,00,0
398.5,mG15.5,yes,500,00,0
399.5,mG15.5,yes,500,00,0
400.5,mG15.5,yes,500,00,0
401.5,mG15.5,yes,500,00,0
402.5,mG15.5,yes,500,00,0
403.5,mG15.5,yes,500,00,0
404.5,mG15.5,yes,500,00,0
405.5,mG15.5,yes,500,00,0
406.5,mG15.5,yes,500,00,0
407.5,mG15.5,yes,500,00,0
408.5,mG15.5,yes,500,00,0
409.5,mG15.5,yes,500,00,0
410.5,mG15.5,yes,500,00,0
411.5,mG15.5,yes,500,00,0
412.5,mG15.5,yes,500,00,0
413.5,mG15.5,yes,500,00,0
414.5,mG15.5,yes,500,00,0
415.5,mG15.5,yes,500,00,0
416.5,mG15.5,yes,500,00,0
417.5,mG15.5,yes,500,00,0
418.5,mG15.5,yes,500,00,0
419.5,mG15.5,yes,500,00,0
420.5,mG15.5,yes,500,00,0
421.5,mG15.5,yes,500,00,0
422.5,mG15.5,yes,500,00,0
423.5,mG15.5,yes,500,00,0
424.5,mG15.5,yes,500,00,0
425.5,mG15.5,yes,500,00,0
426.5,mG15.5,yes,500,00,0
427.5,mG15.5,yes,500,00,0
428.5,mG15.5,yes,500,00,0
429.5,mG15.5,yes,500,00,0
430.5,mG15.5,yes,500,00,0
431.5,mG15.5,yes,500,00,0
432.5,mG15.5,yes,500,00,0
433.5,mG15.5,yes,500,00,0
434.5,mG15.5,yes,500,00,0
435.5,mG15.5,yes,500,00,0
436.5,mG15.5,yes,500,00,0
437.5,mG15.5,yes,500,00,0
438.5,mG15.5,yes,500,00,0
439.5,mG15.5,yes,500,00,0
440.5,mG15.5,yes,500,00,0
441.5,mG15.5,yes,500,00,0
442.5,mG15.5,yes,500,00,0
443.5,mG15.5,yes,500,00,0
444.5,mG15.5,yes,500,00,0
445.5,mG15.5,yes,500,00,0
446.5,mG15.5,yes,500,00,0
447.5,mG15.5,yes,500,00,0
448.5,mG15.5,yes,500,00,0
449.5,mG15.5,yes,500,00,0
450.5,mG15.5,yes,500,00,0
451.5,mG15.5,yes,500,00,0
452.5,mG15.5,yes,500,00,0
453.5,mG15.5,yes,500,00,0
454.5,mG15.5,yes,500,00,0
455.5,mG15.5,yes,500,00,0
456.5,mG15.5,yes,500,00,0
457.5,mG15.5,yes,500,00,0
458.5,mG15.5,yes,500,00,0
459.5,mG15.5,yes,500,00,0
460.5,mG15.5,yes,500,00,0
461.5,mG15.5,yes,500,00,0
462.5,mG15.5,yes,500,00,0
463.5,mG15.5,yes,500,00,0
464.5,mG15.5,yes,500,00,0
465.5,mG15.5,yes,500,00,0
466.5,mG15.5,yes,500,00,0
467.5,mG15.5,yes,500,00,0
468.5,mG15.5,yes,500,00,0
469.5,mG15.5,yes,500,00,0
470.5,mG15.5,yes,500,00,0
471.5,mG15.5,yes,500,00,0
472.5,mG15.5,yes,500,00,0
473.5,mG15.5,yes,500,00,0
474.5,mG15.5,yes,500,00,0
475.5,mG15.5,yes,500,00,0
476.5,mG15.5,yes,500,00,0
477.5,mG15.5,yes,500,00,0
